Brooklyn South,2005,2006,2007,2008,2009,Total
Brooklyn South,2005%,2006%,2007%,2008%,2009%,Total
60th Precinct,3%,5%,0%,3%,2%,13%
61st Precinct,1%,3%,2%,3%,0%,9%
62nd Precinct,0%,1%,0%,0%,2%,3%
63rd Precinct,1%,3%,2%,0%,2%,8%
66th Precinct,0%,2%,1%,0%,1%,4%
67th Precinct,10%,8%,5%,4%,3%,30%
68th Precinct,1%,0%,1%,2%,2%,6%
69th Precinct,3%,2%,1%,0%,3%,9%
70th Precinct,5%,7%,8%,2%,4%,26%
71st Precinct,4%,5%,3%,2%,6%,20%
72nd Precinct,4%,2%,0%,2%,1%,9%
76th Precinct,2%,3%,1%,1%,1%,8%
78th Precinct,1%,1%,1%,0%,0%,3%
Brooklyn South Total,35%,42%,25%,19%,27%,148%
Brooklyn North,,,,,,
73rd Precinct,9%,3%,9%,6%,7%,34%
75th Precinct,7%,11%,5%,5%,3%,31%
77th Precinct,4%,8%,6%,4%,2%,24%
79th Precinct,6%,6%,5%,6%,6%,29%
81st Precinct,4%,3%,10%,1%,0%,18%
83rd Precinct,4%,5%,10%,5%,1%,25%
84th Precinct,5%,3%,1%,0%,0%,9%
88th Precinct,1%,6%,1%,2%,0%,10%
90th Precinct,6%,5%,4%,2%,3%,20%
94th Precinct,0%,2%,2%,1%,0%,5%
Brooklyn North Total,46%,52%,53%,32%,22%,205%
Brooklyn Total,81%,94%,78%,51%,49%,353%
Percentage of Citywide Substantiated Complaints,31.2%,35.6%,36.1%,31.7%,24.9%,32.1%
