Boro,District,CCU,Block,Lot,OwnerType,Status_Date,Address
BRONX,1,12-05333,2294,43,City,01/30/2012,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE
BRONX,1,12-05333,2294,55,City,01/30/2012,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE
BRONX,1,12-05333,2294,59,City,01/30/2012,AT 460 WESTCHESTER AVENUE betw NYCTA SUBWAY & BERGEN AVENUE
BRONX,1,11-11869,2585,19,Private,01/19/2012,ADJ. 840 EAST 134 STREET betw WALNUT AVENUE & AMTRAK RAILROAD
BRONX,1,12-05386,2617,20,City,01/31/2012,AT 672 ST ANNS AVENUE betw EAST 156 STREET & RAE STREET
BRONX,1,12-05387,2624,73,City,01/31/2012,BETWEEN 665 & 669 CAULDWELL AVENUE
BRONX,3,12-05385,2381,43,City,01/31/2012,AT 451 EAST 159 STREET betw BEND & ELTON AVENUE
BRONX,3,12-05331,2383,35,City,01/26/2012,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE
BRONX,3,12-05331,2383,37,City,01/26/2012,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE
BRONX,3,12-05331,2383,39,City,01/26/2012,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE
BRONX,3,12-05331,2383,8900,City,01/26/2012,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE
BRONX,3,12-05377,2384,1,City,01/30/2012,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE
BRONX,3,12-05377,2384,5,City,01/30/2012,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE
BRONX,3,12-05375,2384,25,City,01/27/2012,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE
BRONX,3,12-05375,2384,28,City,01/27/2012,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE
BRONX,3,12-05375,2384,32,City,01/27/2012,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE
BRONX,3,12-05375,2384,33,City,01/27/2012,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE
BRONX,3,12-05375,2384,34,City,01/27/2012,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE
BRONX,3,12-05377,2384,57,City,01/30/2012,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE
BRONX,3,12-05377,2384,58,City,01/30/2012,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE
BRONX,3,12-05377,2384,59,City,01/30/2012,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE
BRONX,3,12-05377,2384,60,City,01/30/2012,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE
BRONX,3,11-11226,2385,1,Private,01/06/2012,OPPOSITE OF 451 EAST 164 STREET betw WASHINGTON AVENUE & BROOK AVENUE
BRONX,3,11-11546,2745,40,Private,01/18/2012,BETWEEN 1147 & 1153 HOE AVENUE
BRONX,3,11-11546,2745,41,Private,01/19/2012,BETWEEN 1147 & 1153 HOE AVENUE
BRONX,3,12-05376,2965,6,City,01/27/2012,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET
BRONX,3,12-05376,2965,7,City,01/27/2012,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET
BRONX,3,12-05376,2965,8,City,01/27/2012,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET
BRONX,3,12-05376,2965,13,City,01/27/2012,ADJ. 1386 STEBBINS AVENUE betw EAST 170 STREET & JENNINGS STREET
BRONX,3,12-05005,2979,1,City,01/12/2012,ADJ. 1208 SOUTHERN BOULEVARD betw LOUIS NINE BOULEVARD & HOME STREET
BRONX,3,12-05135,2980,4,Private,01/24/2012,ADJ. 1286 SOUTHERN BOULEVARD betw JENNINGS STREET & LOUIS NINE BOULEVARD
BRONX,3,12-05133,2994,32,Private,01/26/2012,ADJ. 1437 BRYANT AVENUE betw JENNINGS STREET & BEND
BRONX,3,11-11795,2994,45,Private,01/20/2012,ADJ. 1411 BRYANT AVENUE betw JENNINGS STREET & BEND
BRONX,4,12-05008,2455,49,Private,01/24/2012,ADJ. 207 EAST 163 STREET betw SHERMAN AVENUE & SHERIDAN AVENUE
BRONX,4,12-05431,2514,60,City,01/31/2012,ADJ. 128 WEST 167 STREET betw OGDEN AVENUE & NELSON AVENUE
BRONX,4,12-05430,2514,70,City,01/31/2012,BETWEEN 1123 & 1139 NELSON AVENUE
BRONX,4,12-05430,2514,72,City,01/31/2012,BETWEEN 1123 & 1139 NELSON AVENUE
BRONX,4,12-05430,2514,73,City,01/31/2012,BETWEEN 1123 & 1139 NELSON AVENUE
BRONX,4,12-05378,2830,44,City,01/30/2012,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE
BRONX,4,12-05378,2830,48,City,01/30/2012,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE
BRONX,4,12-05378,2830,52,City,01/30/2012,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE
BRONX,4,12-05378,2830,57,City,01/30/2012,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE
BRONX,4,12-05378,2830,62,City,01/30/2012,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE
BRONX,5,11-11728,2814,8,Private,01/10/2012,REAR OF 1920 ANTHONY AVENUE betw ECHO PLACE & EAST TREMONT AVENUE
BRONX,5,12-05006,2867,125,City,01/12/2012,REAR OF 1821 DAVIDSON AVENUE betw WEST 177 STREET & WEST 176 STREET
BRONX,5,12-05007,2868,3,City,01/10/2012,ADJ. 156 MORTON PLACE betw DR M L KING JR BOULEVARD & HARRISON AVENUE
BRONX,5,11-11755,3186,73,Private,01/09/2012,ADJ. 2255 WALTON AVENUE betw EAST 183 STREET & EAST 182 STREET
BRONX,6,11-11866,2900,28,Private,01/12/2012,ADJ. 4147 PARK AVENUE betw EAST 176 STREET & EAST 175 STREET
BRONX,6,11-11695,2947,18,City,01/03/2012,ADJ. 1899 BELMONT AVENUE betw EAST TREMONT AVENUE & BEND
BRONX,7,11-11754,3198,12,Private,01/06/2012,NEAR 2310 GRAND AVENUE betw WEST 184 STREET & NORTH STREET
BRONX,8,11-11585,3253,202,Private,01/05/2012,REAR OF 3065 SEDGWICK AVENUE betw PEROT STREET & RESERVOIR AVENUE
BRONX,8,11-11973,3253,204,Private,01/25/2012,ADJ. 3056 KINGSBRIDGE TERRACE betw PEROT STREET & ALBANY CRESCENT
BRONX,8,11-11601,3257,39,Private,01/11/2012,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND
BRONX,8,11-11601,3257,46,Private,01/11/2012,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND
BRONX,8,11-11601,3257,47,Private,01/11/2012,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND
BRONX,8,11-11601,3257,71,Private,01/11/2012,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND
BRONX,8,11-11478,5727,560,Private,01/05/2012,OPPOSITE OF 2750 JOHNSON AVENUE betw WEST 230 STREET & BEND
BRONX,9,11-11723,3597,40,Private,01/09/2012,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE
BRONX,9,11-11723,3597,42,Private,01/09/2012,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE
BRONX,9,11-11723,3597,43,Private,01/10/2012,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE
BRONX,9,12-05148,3706,1,City,01/17/2012,AT 930 ZEREGA AVENUE betw CROSS BRONX EXPWY NB ET 6 A & QUIMBY AVENUE
BRONX,9,11-11725,3771,64,Private,01/09/2012,BETWEEN 1229 & 1233 WHEELER AVENUE
BRONX,9,11-11696,3918,22,Private,01/06/2012,ADJ. 1762 EAST TREMONT AVENUE betw ST LAWRENCE AVENUE & BEND
BRONX,11,12-05060,4320,41,Private,01/25/2012,ADJ. 2181 WALLACE AVENUE betw PELHAM PARKWAY & LYDIG AVENUE
BRONX,12,11-11774,4635,31,Private,01/13/2012,BETWEEN 912 & 934 EAST GUNHILL ROAD
BRONX,12,11-11774,4635,32,Private,01/13/2012,BETWEEN 912 & 934 EAST GUNHILL ROAD
BRONX,12,11-11694,4657,72,Private,01/04/2012,ADJ. 730 EAST 212 STREET betw HOLLAND AVENUE & WHITE PLAINS ROAD
BRONX,12,11-11640,4727,24,Private,01/12/2012,REAR OF 1206 EAST 222 STREET betw KINGSLAND AVENUE & NEEDHAM AVENUE
BRONX,12,12-05004,4799,39,Private,01/30/2012,OPPOSITE OF 2833 ELY AVENUE betw ARNOW AVENUE & BARTOW AVENUE
BROOKLYN,1,11-11878,2147,1,City,01/06/2012,ADJ. 115 DIVISION AVENUE betw DRIGGS AVENUE & BEDFORD AVENUE
BROOKLYN,1,11-11684,2399,17,Private,01/05/2012,ADJ. 381 SOUTH 1 STREET betw HOOPER STREET & GRAND ST EXTENSION
BROOKLYN,1,11-11684,2399,19,Private,01/05/2012,ADJ. 381 SOUTH 1 STREET betw HOOPER STREET & GRAND ST EXTENSION
BROOKLYN,1,11-11735,2412,124,Private,01/05/2012,ADJ. 373 SOUTH 2 STREET betw HOOPER STREET & KEAP STREET
BROOKLYN,2,11-11944,56,37,City,01/13/2012,ADJ. 111 GOLD STREET betw YORK STREET & FRONT STREET
BROOKLYN,2,12-05053,389,27,City,01/31/2012,NEAR 350 BERGEN STREET betw 4 AVENUE & 3 AVENUE
BROOKLYN,2,12-05053,389,29,City,01/31/2012,NEAR 350 BERGEN STREET betw 4 AVENUE & 3 AVENUE
BROOKLYN,3,12-05114,1718,15,City,01/25/2012,ADJ. 40 NOSTRAND AVENUE betw PARK AVENUE & LEE AVENUE
BROOKLYN,3,11-11894,1754,24,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,25,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,26,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,27,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,28,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,29,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,30,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,31,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11894,1754,32,City,01/06/2012,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE
BROOKLYN,3,12-05180,1795,67,City,01/26/2012,BETWEEN 623 & 637 GREENE AVENUE
BROOKLYN,3,12-05180,1795,68,City,01/26/2012,BETWEEN 623 & 637 GREENE AVENUE
BROOKLYN,3,12-05180,1795,69,City,01/26/2012,BETWEEN 623 & 637 GREENE AVENUE
BROOKLYN,3,12-05180,1795,70,City,01/26/2012,BETWEEN 623 & 637 GREENE AVENUE
BROOKLYN,3,12-05180,1795,71,City,01/26/2012,BETWEEN 623 & 637 GREENE AVENUE
BROOKLYN,3,11-11854,1867,35,Private,01/12/2012,ADJ. 166 HERKIMER STREET betw NEW YORK AVENUE & NOSTRAND AVENUE
BROOKLYN,3,11-11880,1871,42,City,01/10/2012,ADJ. 446 HERKIMER STREET betw ALBANY AVENUE & KINGSTON AVENUE
BROOKLYN,3,11-11880,1871,43,City,01/10/2012,ADJ. 446 HERKIMER STREET betw ALBANY AVENUE & KINGSTON AVENUE
BROOKLYN,3,11-11947,1942,6,Private,01/25/2012,ADJ. 273 SKILLMAN STREET betw LAFAYETTE AVENUE & DE KALB AVENUE
BROOKLYN,3,11-11946,1942,9,Private,01/25/2012,ADJ. 267 SKILLMAN STREET betw LAFAYETTE AVENUE & DE KALB AVENUE
BROOKLYN,3,12-05328,1973,38,City,01/31/2012,ADJ. 96 QUINCY STREET betw FRANKLIN AVENUE & CLASSON AVENUE
BROOKLYN,4,12-05308,3232,42,City,01/30/2012,ADJ. 1280 MYRTLE AVENUE betw DE KALB AVENUE & CEDAR STREET
BROOKLYN,4,12-05282,3285,71,City,01/31/2012,ADJ. 1177 GREENE AVENUE betw CENTRAL AVENUE & EVERGREEN AVENUE
BROOKLYN,4,12-05283,3296,58,City,01/30/2012,ADJ. 105 BLEECKER STREET betw CENTRAL AVENUE & EVERGREEN AVENUE
BROOKLYN,4,12-05284,3342,42,City,01/30/2012,BETWEEN 201 & 209 PALMETTO STREET
BROOKLYN,4,12-05284,3342,43,City,01/30/2012,BETWEEN 201 & 209 PALMETTO STREET
BROOKLYN,4,12-05252,3387,1,City,01/31/2012,ADJ. 1036 JEFFERSON AVENUE betw BUSHWICK AVENUE & NYCTA SUBWAY
BROOKLYN,4,11-11571,3434,42,Private,01/09/2012,BETWEEN 1150 & 1146 DECATUR STREET
BROOKLYN,5,11-11703,3680,29,City,01/11/2012,ADJ. 1766 EAST NEW YORK AVENUE betw NYCTA SUBWAY & VAN SINDEREN AVENUE
BROOKLYN,5,11-11703,3680,129,City,01/11/2012,ADJ. 1766 EAST NEW YORK AVENUE betw NYCTA SUBWAY & VAN SINDEREN AVENUE
BROOKLYN,5,11-11449,3722,114,Private,01/12/2012,ADJ. 424 GLENMORE AVENUE betw VERMONT STREET & NEW JERSEY AVENUE
BROOKLYN,5,12-05200,3725,12,City,01/26/2012,ADJ. 488 GLENMORE AVENUE betw MILLER AVENUE & BRADFORD STREET
BROOKLYN,5,12-05200,3725,13,City,01/26/2012,ADJ. 488 GLENMORE AVENUE betw MILLER AVENUE & BRADFORD STREET
BROOKLYN,5,12-05191,3820,123,City,01/31/2012,ADJ. 491 ALABAMA AVENUE betw RIVERDALE AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05067,3865,24,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05067,3865,25,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05067,3865,26,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05067,3865,27,City,01/19/2012,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE
BROOKLYN,5,12-05041,3866,41,City,01/24/2012,BETWEEN 644 & 638 HINSDALE STREET
BROOKLYN,5,12-05042,3866,68,City,01/11/2012,ADJ. 1747 LINDEN BOULEVARD betw HINSDALE STREET & SNEDIKER AVENUE
BROOKLYN,5,12-05043,3992,45,City,01/11/2012,OPPOSITE OF 868A GLENMORE AVENUE betw MILFORD STREET & MONTAUK AVENUE
BROOKLYN,5,12-05044,4000,3,City,01/11/2012,ADJ. 335 ASHFORD STREET betw PITKIN AVENUE & GLENMORE AVENUE
BROOKLYN,5,11-11958,4050,22,City,01/10/2012,ADJ. 582 LINWOOD STREET betw BLAKE AVENUE & SUTTER AVENUE
BROOKLYN,5,12-05092,4067,12,City,01/18/2012,ADJ. 661 LINWOOD STREET betw DUMONT AVENUE & BLAKE AVENUE
BROOKLYN,5,11-11968,4074,39,City,01/10/2012,ADJ. 779 LIVONIA AVENUE betw HENDRIX STREET & VAN SICLEN AVENUE
BROOKLYN,5,11-11950,4078,11,City,01/06/2012,BETWEEN 577 & 583 JEROME STREET
BROOKLYN,5,11-11969,4081,23,City,01/10/2012,BETWEEN 982 & 976 DUMONT AVENUE
BROOKLYN,5,11-11970,4083,29,Private,01/24/2012,ADJ. 823 NEW LOTS AVENUE betw ESSEX STREET & LINWOOD STREET
BROOKLYN,5,12-05046,4092,1,Private,01/25/2012,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05046,4092,2,Private,01/25/2012,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05046,4092,3,Private,01/25/2012,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY
BROOKLYN,5,12-05162,4142,32,City,01/25/2012,OPPOSITE OF 85 DINSMORE PLACE betw CHESTNUT STREET & RICHMOND STREET
BROOKLYN,5,11-11922,4223,6,City,01/10/2012,NEAR 553 GRANT AVENUE betw PITKIN AVENUE & GLENMORE AVENUE
BROOKLYN,5,11-11923,4258,1,City,01/06/2012,REAR OF 338 FORBELL STREET betw SUTTER AVENUE & CONDUIT BOULEVARD
