Zip Code,Building type (service class, Consumption (therms) , Consumption (GJ) ,Utility/Data Source
"10001
(40.75025902143676, -73.99688630375988)",Residential,58338,6155,ConEd
"10002
(40.71612146793143, -73.98583147024613)",Residential,550055,58034,ConEd
"10003
(40.73194394755518, -73.98887214913032)",Residential,260502,27484,ConEd
"10005
(40.7061257920717, -74.00858468583453)",Residential,265,28,ConEd
"10006
(40.70825614030866, -74.01355356964149)",Residential,2076,219,ConEd
"10007
(40.71363051943297, -74.00913138370635)",Residential,12845,1355,ConEd
"10009
(40.72664935898081, -73.97911148500697)",Residential,186224,19648,ConEd
"10010
(40.73914078212147, -73.98289845639863)",Residential,61263,6464,ConEd
"10011
(40.74471526669623, -74.00460000028977)",Residential,192654,20326,ConEd
"10012
(40.72553802086304, -73.99789641059084)",Residential,178497,18832,ConEd
"10013
(40.721242188776046, -74.00888900022716)",Residential,228453,24103,ConEd
"10014
(40.73358645135369, -74.01019960472792)",Residential,213234,22497,ConEd
"10016
(40.745242969987146, -73.97823298586354)",Residential,111236,11736,ConEd
"10017
(40.75245652744684, -73.97297648087982)",Residential,23970,2529,ConEd
"10018
(40.756840774582145, -73.99669149981281)",Residential,21822,2302,ConEd
"10019
(40.76761164715987, -73.99180550022362)",Residential,124706,13157,ConEd
"10021
(40.76920532766377, -73.959183941086)",Residential,185761,19599,ConEd
"10022
(40.758630224005685, -73.96809182217982)",Residential,122395,12913,ConEd
"10023
(40.774536138232236, -73.97994335610099)",Residential,243744,25716,ConEd
"10024
(40.78362556816552, -73.96653900057436)",Residential,403600,42582,ConEd
"10025
(40.79685012763133, -73.96372581059762)",Residential,507504,53545,ConEd
"10026
(40.80305812163505, -73.95334277604826)",Residential,148829,15702,ConEd
"10027
(40.811549564460904, -73.95290033568193)",Residential,331029,34925,ConEd
"10028
(40.776344978837756, -73.95296667956859)",Residential,238163,25128,ConEd
"10029
(40.79161072055837, -73.94403228106489)",Residential,242271,25561,ConEd
"10030
(40.81843517604261, -73.94276530357587)",Residential,159864,16867,ConEd
"10031
(40.82495420507257, -73.9501244360938)",Residential,607749,64121,ConEd
"10032
(40.83693034905639, -73.94917852197119)",Residential,717065,75654,ConEd
"10033
(40.85621992920642, -73.94585900019268)",Residential,658126,69436,ConEd
"10034
(40.8706171092922, -73.9242232587963)",Residential,473019,49906,ConEd
"10035
(40.79381703542788, -73.91931750020245)",Residential,126399,13336,ConEd
"10036
(40.75934682719435, -73.989860554421)",Residential,73600,7765,ConEd
"10037
(40.81329776108288, -73.93728252556804)",Residential,33817,3568,ConEd
"10038
(40.70935929189784, -74.00307186237649)",Residential,24457,2580,ConEd
"10039
(40.82668192862815, -73.93777090780111)",Residential,81485,8597,ConEd
"10040
(40.85809553188335, -73.92925548994884)",Residential,515640,54403,ConEd
"10065
(40.76430121303059, -73.96303993544461)",Residential,156086,16468,ConEd
