BOROUGH,BUILDING CLASS CATEGORY, NUMBER OF SALES , MINIMUM SALE PRICE , AVERAGE SALE PRICE , MEDIAN SALE PRICE , MAXIMUM SALE PRICE 
1,01 ONE FAMILY HOMES  ,68,331500,8926012,5414549,49000000
1,02 TWO FAMILY HOMES  ,61,200000,4671561,4150000,17000000
1,03 THREE FAMILY HOMES,42,175000,3868956,3425000,13500000
2,01 ONE FAMILY HOMES  ,606,150000,441962,391200,3956150
2,02 TWO FAMILY HOMES  ,906,150000,482934,480000,975000
2,03 THREE FAMILY HOMES,469,153000,558828,575000,1550000
3,01 ONE FAMILY HOMES  ,1577,151117,642727,515000,8450000
3,02 TWO FAMILY HOMES  ,2906,150000,656988,600000,10800000
3,03 THREE FAMILY HOMES,1081,150000,733439,695000,3100000
4,01 ONE FAMILY HOMES  ,5078,150000,513661,465000,5617500
4,02 TWO FAMILY HOMES  ,3660,150000,579499,561900,3100000
4,03 THREE FAMILY HOMES,704,150000,709228,720000,2133334
5,01 ONE FAMILY HOMES  ,2391,150000,429639,400000,3100000
5,02 TWO FAMILY HOMES  ,901,150000,514656,490000,7700000
5,03 THREE FAMILY HOMES,28,150000,428614,424374,713000
Citywide,01 ONE FAMILY HOMES  ,9720,150000,568314,445000,49000000
Citywide,02 TWO FAMILY HOMES  ,8434,150000,618494,555500,17000000
Citywide,03 THREE FAMILY HOMES,2324,150000,743861,661681,13500000
