Brooklyn North,2005,2006,2007,2008,2009,Total
73rd Precinct,6%,2%,10%,5%,5%,28%
75th Precinct,8%,15%,5%,8%,5%,41%
77th Precinct,3%,8%,7%,3%,3%,24%
79th Precinct,7%,4%,6%,3%,1%,21%
81st Precinct,4%,3%,6%,0%,0%,13%
83rd Precinct,4%,5%,5%,5%,2%,21%
84th Precinct,4%,0%,0%,0%,0%,4%
88th Precinct,1%,6%,0%,2%,0%,9%
90th Precinct,3%,1%,2%,6%,2%,14%
94th Precinct,1%,1%,2%,1%,0%,5%
Precincts Total,41%,45%,43%,33%,18%,180%
Task Force,0%,0%,1%,0%,0%,1%
Borough Headquarters,0%,0%,0%,0%,0%,0%
Anti-crime Unit,6%,3%,6%,0%,0%,15%
Impact Response Team,0%,0%,0%,0%,1%,1%
Patrol Borough Brooklyn North Total,47%,48%,50%,33%,19%,197%
Percent of All Subject Officers Against Whom Allegations were Substantiated,15.9%,12.2%,9%,8.9%,5.5%,10%
