JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL
Bronx Neighborhood Development Area 001,59,31,0.53,28,0.47,0,0,59,100,0,0,21,0.36,0,0,1,0.02,0,0,32,0.54,4,0.07,1,0.02,59,100,3,0.05,55,0.93,1,0.02,0,0,59,100,20,0.34,39,0.66,0,0,59,100
Bronx Neighborhood Development Area 002,7,5,0.71,2,0.29,0,0,7,100,0,0,3,0.43,0,0,0,0,0,0,4,0.57,0,0,0,0,7,100,2,0.29,5,0.71,0,0,0,0,7,100,3,0.43,4,0.57,0,0,7,100
Bronx Neighborhood Development Area 003,15,12,0.8,3,0.2,0,0,15,100,0,0,6,0.4,0,0,0,0,0,0,8,0.53,1,0.07,0,0,15,100,2,0.13,13,0.87,0,0,0,0,15,100,6,0.4,9,0.6,0,0,15,100
Bronx Neighborhood Development Area 004,44,27,0.61,17,0.39,0,0,44,100,1,0.02,24,0.55,1,0.02,0,0,0,0,16,0.36,1,0.02,1,0.02,44,99,2,0.05,42,0.95,0,0,0,0,44,100,13,0.3,31,0.7,0,0,44,100
Bronx Neighborhood Development Area 005,25,9,0.36,16,0.64,0,0,25,100,0,0,11,0.44,0,0,0,0,0,0,13,0.52,1,0.04,0,0,25,100,3,0.12,22,0.88,0,0,0,0,25,100,12,0.48,13,0.52,0,0,25,100
Bronx Neighborhood Development Area 006,15,5,0.33,10,0.67,0,0,15,100,0,0,6,0.4,0,0,0,0,0,0,9,0.6,0,0,0,0,15,100,0,0,15,1,0,0,0,0,15,100,5,0.33,10,0.67,0,0,15,100
Bronx Neighborhood Development Area 007,207,125,0.6,82,0.4,0,0,207,100,0,0,99,0.48,1,0,6,0.03,1,0,88,0.43,12,0.06,0,0,207,100,15,0.07,190,0.92,2,0.01,0,0,207,100,67,0.32,140,0.68,0,0,207,100
Bronx Neighborhood Development Area 008,61,39,0.64,22,0.36,0,0,61,100,0,0,38,0.62,0,0,0,0,2,0.03,19,0.31,2,0.03,0,0,61,99,2,0.03,57,0.93,2,0.03,0,0,61,99,21,0.34,40,0.66,0,0,61,100
Bronx Neighborhood Development Area 009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx Neighborhood Development Area 010,33,29,0.88,4,0.12,0,0,33,100,1,0.03,19,0.58,1,0.03,1,0.03,4,0.12,6,0.18,1,0.03,0,0,33,100,2,0.06,30,0.91,1,0.03,0,0,33,100,13,0.39,20,0.61,0,0,33,100
Bronx Neighborhood Development Area 011,33,13,0.39,20,0.61,0,0,33,100,0,0,12,0.36,0,0,1,0.03,1,0.03,14,0.42,4,0.12,1,0.03,33,99,0,0,33,1,0,0,0,0,33,100,15,0.45,18,0.55,0,0,33,100
Bronx Neighborhood Development Area 012,57,35,0.61,22,0.39,0,0,57,100,0,0,11,0.19,0,0,0,0,0,0,46,0.81,0,0,0,0,57,100,2,0.04,55,0.96,0,0,0,0,57,100,12,0.21,45,0.79,0,0,57,100
Brooklyn Neighborhood Development Area 001,47,34,0.72,13,0.28,0,0,47,100,0,0,2,0.04,0,0,1,0.02,41,0.87,1,0.02,2,0.04,0,0,47,99,0,0,47,1,0,0,0,0,47,100,31,0.66,16,0.34,0,0,47,100
Brooklyn Neighborhood Development Area 002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Neighborhood Development Area 003,5,5,1,0,0,0,0,5,100,0,0,0,0,0,0,0,0,4,0.8,0,0,1,0.2,0,0,5,100,0,0,5,1,0,0,0,0,5,100,3,0.6,2,0.4,0,0,5,100
