PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,High School,Seward Park High School - H.S. 445 ,New York,Chinese American Planning Council,212.941.0920,High School,"350 Grand Street
New York, NEW YORK 10002
(40.716852373698316, -73.98959502962896)"
After-School Programs,High School,"Grand Street Settlement, Inc. ",New York,"Grand Street Settlement, Inc.",212.674.1740,High School,"80 Pitt Street
New York, NEW YORK 10002
(40.718892797836546, -73.98215902487652)"
After-School Programs,High School,Joy Center,New York,Greenwich Village Youth Council,646.935.1812,High School,"213 Eldridge Street
New York, NEW YORK 10002
(40.72209739227883, -73.98998476242794)"
After-School Programs,High School,Henry Street Settlement,New York,Henry Street Settlement,212.766.9200,High School,"301 Henry Street
New York, NEW YORK 10002
(40.71399949305981, -73.98339877304709)"
After-School Programs,High School,Henry Street School for International Studies,New York,"Loisaida, Inc.",212.353.0272,High School,"220 Henry Street
New York, NEW YORK 10002
(40.713663660512324, -73.98651124295314)"
After-School Programs,High School,"Loisaida, Inc.",New York,"Loisaida, Inc.",212.353.0272,High School,"710 9th Street
New York, NEW YORK 10009
(40.72513728725892, -73.9776956836335)"
After-School Programs,High School,Trinity Lutheran Church ,New York,Lutheran Social Services of New York,212.784.8960,High School,"168 100th Street
New York, NEW YORK 10025
(40.79624990319889, -73.96758330511928)"
After-School Programs,High School,Harlem PAL Community Center,New York,"Police Athletic League, Inc.",212 665.8699,High School,"441 Manhattan Avenue
New York, NEW YORK 10026
(40.80669464442542, -73.95561864336202)"
After-School Programs,High School,"Boys & Girls Harbor, Inc.",New York,"Boys & Girls Harbor, Inc.",212.427.2244,High School,"1 104th Street
New York, NEW YORK 10029
(40.79298338723134, -73.95200031741886)"
After-School Programs,High School,"Northside Center For Child Development, Inc.",New York,"Northside Center For Child Development, Inc.",212.426.3400,High School,"1301 5th Avenue
New York, NEW YORK 10029
(40.79710479239263, -73.94902299102804)"
After-School Programs,High School,Manhattan Center For Science & Math,New York,The Childrens Aid Society,212.860.0299,High School,"280 Pleasant Avenue
New York, NEW YORK 10029
(40.79480422455373, -73.93330103742075)"
After-School Programs,High School,LaGuardia Memorial House,New York,Supportive Childrens Advocacy Network (SCAN),212.683.2522,High School,"307 116th Street
New York, NEW YORK 10029
(40.79694537628096, -73.93755161623598)"
After-School Programs,High School,Central Harlem Services,New York,"Northside Center For Child Development, Inc.",212.426.3400,High School,"247 249 West 135th Street
New York, NEW YORK 10030
(40.81843517604261, -73.94276530357587)"
After-School Programs,High School,Children's Art Carnival ,New York,Children's Art Carnival ,212.234.4093,High School,"62 Hamilton Terrace
New York, NEW YORK 10031
(40.82332310874716, -73.94609482307175)"
After-School Programs,High School,Public School 192 - Jacob H. Schiff Elementary School,New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,High School,"500 138th Street
New York, NEW YORK 10031
(40.82157842401034, -73.952641887445)"
After-School Programs,High School,Intermediate School 326/328,New York,Community Association of Progressive Dominicans,212.781.5500,High School,"401 164th Street
New York, NEW YORK 10032
(40.83651304740195, -73.93704560998873)"
After-School Programs,High School,Public School 4 - Duke Ellington School,New York,"Community League of the Heights, Inc",212.795.4779,High School,"500 160th Street
New York, NEW YORK 10032
(40.834727600746845, -73.94071780237537)"
After-School Programs,High School,Public School 173 ,New York,"Childrens Arts & Science Workshops, Inc.",212.923.7766,High School,"306 Fort
New York, NEW YORK 10033
(40.85621992920642, -73.94585900019268)"
After-School Programs,High School,Public School 5 - Ellen Lurie School,New York,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,"3703 10th Avenue
New York, NEW YORK 10034
(40.85899299980833, -73.92287094387305)"
After-School Programs,High School,"Jewish Community Center of Staten Island, Inc.",Staten Island,"Jewish Community Center of Staten Island, Inc.",718.981.1500,High School,"475 Victory Boulevard
Staten Island, NEW YORK 10301
(40.630627751644205, -74.08851956408898)"
