Organized Crime Control Bureau,2005,2006,2007,2008,2009,Total
Queens Narcotics,38,31,48,57,27,201
Manhattan North Narcotics,47,32,40,36,45,200
Manhattan South Narcotics,15,12,11,17,13,68
Bronx Narcotics,49,49,97,64,66,325
Staten Island Narcotics,11,15,10,19,18,73
Brooklyn South Narcotics,60,53,87,97,47,344
Brooklyn North Narcotics,41,54,73,45,31,244
Narcotics,5,4,1,1,2,13
Auto Crime,2,3,3,3,1,12
Vice Enforcement,24,20,5,15,13,77
Drug Enforcement,0,2,0,1,0,3
Organized Crime HQ,6,0,3,2,2,13
Organized Crime Control Bureau Total,298,275,378,357,265,1573
