Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,Not SWD,11064,657,1040,9.4,3724,33.7,5971,54,329,3,6300,56.9
BRONX,3,2006,SWD,2232,616,1114,49.9,733,32.8,376,16.8,9,0.4,385,17.2
BRONX,3,2007,Not SWD,13001,651,1561,12,4872,37.5,6146,47.3,422,3.2,6568,50.5
BRONX,3,2007,SWD,2870,614,1373,47.8,992,34.6,495,17.2,10,0.3,505,17.6
BRONX,3,2008,Not SWD,12432,656,870,7,4623,37.2,6343,51,596,4.8,6939,55.8
BRONX,3,2008,SWD,2948,622,1152,39.1,1239,42,532,18,25,0.8,557,18.9
BRONX,3,2009,Not SWD,12433,661,515,4.1,3515,28.3,7840,63.1,563,4.5,8403,67.6
BRONX,3,2009,SWD,3098,629,935,30.2,1322,42.7,818,26.4,23,0.7,841,27.1
BRONX,3,2010,Not SWD,12092,661,1984,16.4,5045,41.7,3931,32.5,1132,9.4,5063,41.9
BRONX,3,2010,SWD,3362,640,1861,55.4,1035,30.8,400,11.9,66,2,466,13.9
BRONX,3,2011,Not SWD,12143,659,1787,14.7,5309,43.7,4847,39.9,200,1.6,5047,41.6
BRONX,3,2011,SWD,3291,638,1733,52.7,1159,35.2,395,12,4,0.1,399,12.1
BRONX,3,2012,Not SWD,12300,659,2055,16.7,5167,42,4775,38.8,303,2.5,5078,41.3
BRONX,3,2012,SWD,3301,639,1779,53.9,1148,34.8,363,11,11,0.3,374,11.3
BRONX,4,2006,Not SWD,11252,655,982,8.7,4023,35.8,5856,52,391,3.5,6247,55.5
BRONX,4,2006,SWD,2403,610,1200,49.9,831,34.6,368,15.3,4,0.2,372,15.5
BRONX,4,2007,Not SWD,12576,652,1055,8.4,4952,39.4,6212,49.4,357,2.8,6569,52.2
BRONX,4,2007,SWD,3199,613,1416,44.3,1214,37.9,558,17.4,11,0.3,569,17.8
BRONX,4,2008,Not SWD,12191,653,963,7.9,4299,35.3,6562,53.8,367,3,6929,56.8
BRONX,4,2008,SWD,3243,613,1409,43.4,1168,36,662,20.4,4,0.1,666,20.5
BRONX,4,2009,Not SWD,11849,661,335,2.8,3301,27.9,7892,66.6,321,2.7,8213,69.3
BRONX,4,2009,SWD,3388,626,949,28,1544,45.6,888,26.2,7,0.2,895,26.4
BRONX,4,2010,Not SWD,12116,664,1113,9.2,6194,51.1,4558,37.6,251,2.1,4809,39.7
BRONX,4,2010,SWD,3461,638,1450,41.9,1629,47.1,378,10.9,4,0.1,382,11
BRONX,4,2011,Not SWD,11944,667,857,7.2,5537,46.4,5447,45.6,103,0.9,5550,46.5
BRONX,4,2011,SWD,3608,638,1408,39,1758,48.7,441,12.2,1,0,442,12.3
BRONX,4,2012,Not SWD,11615,668,963,8.3,5254,45.2,5208,44.8,190,1.6,5398,46.5
BRONX,4,2012,SWD,3399,638,1394,41,1576,46.4,426,12.5,3,0.1,429,12.6
BRONX,5,2006,Not SWD,12295,649,843,6.9,5229,42.5,5703,46.4,520,4.2,6223,50.6
BRONX,5,2006,SWD,2656,611,984,37,1273,47.9,391,14.7,8,0.3,399,15
BRONX,5,2007,Not SWD,12804,651,809,6.3,5770,45.1,5983,46.7,242,1.9,6225,48.6
BRONX,5,2007,SWD,3137,616,1050,33.5,1623,51.7,460,14.7,4,0.1,464,14.8
