License Type,License Term,Original,Renewal,Late Fee,Reissue,Original Seal,Original Plate,Plate & Seal Renewal,Replacement Seal,Replacement Plate,Certificate
Master Plumber,3 years,200,150,"Up to 30 days late $50,  From 31 days to five years late - add an extra $100 for each year or partial year",50,50,75,175,75,100,N/A
"Plumber, Cert. Only",3 years,200,150,"Up to 30 days late $50,  From 31 days to five years late - add an extra $100 for each year or partial year",50,N/A,N/A,N/A,N/A,N/A,N/A
Master Fire Suppression,3 years,200,150,"Up to 30 days late $50,  From 31 days to five years late - add an extra $100 for each year or partial year",50,50,75,175,75,100,N/A
"Fire Suppression, Cert. only",3 years,200,150,"Up to 30 days late $50,  From 31 days to five years late - add an extra $100 for each year or partial year",50,N/A,N/A,,,,N/A
Journeyman Plumber/Fire,No Expiration,50,,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A
Master Sign Hangar,3 years,100,75,50,50,N/A,N/A,N/A,N/A,N/A,5 each copy
Special Sign Hangar,3 years,100,75,50,50,N/A,N/A,N/A,N/A,N/A,5 each copy
Master Rigger,3 years,200,150,50,50,N/A,N/A,N/A,N/A,N/A,5 each copy
Special Rigger,3 years,100,75,50,50,N/A,N/A,N/A,N/A,N/A,5 each copy
Welder,1 year,10,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A
Hoist Machine Operator / Cherrypicker,3 years,,,"Class A 50,  Class B 50,  Class C 50",,N/A,N/A,N/A,N/A,N/A,N/A
Site Safety Manager,3 years,300,150,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Site Safety Coordinator,1 year,100,50,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Oil Burner Installer,3 years,100,50,50,50,100,N/A,25 (seal only),N/A,N/A,N/A
Construction Superintendent,3 years,100,50,50,50,N/A,N/A,N/A,N/A,N/A,N/A
"Engineer, Stationary/Portable",1 year,25,15,10,15,N/A,N/A,N/A,N/A,N/A,5 replacement license for Port. Eng.
Tower Crane Rigger,3 years,150,50,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Elevator Agency Director,3 years,100,150,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Elevator Inspector,3 years,50,75,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Concrete Test Lab,1 year,100,75,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Master Electrician,1 year,310,60,310,310,50,N/A,30 (seal only),50,N/A,N/A
Special Electrician,1 year,310,60,310,310,50,N/A,30 (seal only),50,N/A,N/A
"Safety Registration (Construction, Demo, Concrete)",3 years,,,50 per endorsement,50,N/A,N/A,N/A,N/A,N/A,N/A
General Contractor (registration),3 years,300,240,50,50,N/A,N/A,N/A,N/A,N/A,N/A
Filing Representative Registration (Expediter),1 year,50,50,50,50,N/A,N/A,N/A,N/A,N/A,N/A
NYC Dept. of Buildings,,,,,,,,,,,
Licensing Fee Schedule as of 7/1/09,,,,,,,,,,,
