AGN,AGENCY NAME, FY 2002 Actual , FY 2003 Actual , FY 2004 Actual , FY 2005 Actual , FY 2006 Actual , FY 2007 Actual , FY 2008 Actual , FY 2009 Actual ,FY 2010 Actual,FY 2011 Plan,FY 2012 Plan,FY 2013 Plan,FY 2014 Plan,FY 2015 Plan,EXPENSE ($ IN THOUSANDS) - CITY FUNDS
2,Mayoralty,67815,50730,54292,56651,59555,63384,63791,66374,67427,68819,67831,67552,67417,67271,Plan data as of February 2011 Financial Plan
3,Board of Elections,67482,47642,68059,59788,63297,71748,80676,80749,95446,97253,69908,76508,76508,76508,Agency expenditures adjusted to exclude the impact of prepayments & debt defeasances. FY2009 & prior years restated to include TFA Debt Service.
4,Campaign Finance Board,48478,7245,14196,5357,38692,6576,6497,8658,44320,14510,13013,13017,13017,13017,
8,Office of the Actuary,3149,3277,3594,4116,4944,4539,5060,4689,4977,5302,5306,5310,5310,5310,
10,"President,Borough of Manhattan",5023,3778,3634,3889,4318,4462,5110,4979,4350,4226,2892,2902,2908,2908,
11,"President,Borough of the Bronx",6944,5283,4854,5199,5345,6180,6429,5192,4849,5203,3933,3947,3955,3955,
12,"President,Borough of Brooklyn",5941,4857,4745,5053,5258,6049,7981,5618,5190,5208,3557,3571,3579,3579,
13,"President,Borough of Queens",6041,4553,4505,4719,4831,5529,6620,4717,4588,4647,3307,3317,3324,3324,
14,"President,Borough of S.I.",4742,3686,3602,3769,4018,4267,4679,3946,3871,3798,2795,2806,2811,2811,
15,Office of the Comptroller,54474,52230,50200,50290,53673,55102,56906,58646,55041,57134,58113,58224,58372,58457,
17,Dept. of Emergency Management,0,3633,3480,3420,4047,6244,9882,10905,13051,7556,5203,5213,5221,5225,
21,Office of Administrative Tax Appeals,1992,1879,1956,2319,2366,2601,3072,3987,3707,3775,3779,3783,3783,3783,
25,Law Department,89579,96007,103229,112207,116962,119418,118905,125096,130300,129678,129165,128146,125767,125767,
30,Department of City Planning,6581,7706,4545,6779,7536,7564,9433,10801,10704,10350,8076,7652,7652,7652,
32,Department of Investigation,20792,18441,16245,16116,16723,16975,18252,17144,16734,15294,15341,15081,15081,15081,
35,NY Public Library - Research,18698,16633,16967,18154,19034,20087,24326,24974,26642,21758,17452,17452,17452,17452,
37,New York Public Library,96805,87471,89747,94737,96464,106357,117198,121222,114286,109110,85182,84832,84832,84832,
38,Brooklyn Public Library,71464,64665,66781,70286,73841,78775,87277,90495,85427,81324,63328,62978,62978,62978,
39,Queens Borough Public Library,68140,61571,63095,66834,71802,76770,85671,88577,83940,79648,61342,60992,60992,60992,
40,Department of Education,4784694,5103244,5464382,5605073,6306405,6779894,6997793,7259066,7140162,7722248,9410211,9660773,9996317,10198970,
42,City University,287507,309476,353139,374457,394116,410674,445361,481431,528839,531966,499497,493880,494908,494822,
54,Civilian Complaint Review Bd.,9324,8873,10053,9776,10073,10717,11074,11300,10091,9970,9600,9608,9611,9614,
56,Police Department,3099888,3158965,3218169,3463754,3404713,3461451,3734724,4057374,4199393,4247343,4097175,4097318,4097325,4097325,
57,Fire Department,1058707,1046649,1061561,1091062,1246047,1271686,1323216,1363732,1431240,1488250,1400838,1382096,1380476,1380031,
68,Admin. for Children Services,652125,627243,579593,621522,684494,900507,830334,817647,710425,710177,856594,830290,830855,831419,
69,Department of Social Services,3760680,3960255,4577482,5165384,4839573,5385637,6525557,6127839,6079792,5735981,7032192,7254702,7391296,7571161,
71,Dept. of Homeless Services,252190,285709,264615,301093,346841,347749,360226,350281,373743,422918,423728,422995,423032,423010,
72,Department of Correction,811611,822869,791569,778478,859822,913457,926553,974990,975603,1006447,981658,973569,973569,973569,
73,Board of Correction,906,830,855,830,861,886,915,904,921,999,999,999,999,999,
94,Department of Employment,10852,6988,0,0,0,0,0,0,0,0,0,0,0,0,
95,Citywide Pension Contributions,1334377,1533917,2263065,3194122,3837752,4688680,5570853,6217046,6583254,6834456,8254672,8401465,8279698,8556507,
98,Miscellaneous,3894252,3954159,4064405,4899386,5775998,6517245,5119026,5167466,4964091,5007968,5219463,6466076,7177559,8038273,
99,Debt Service,3314484,3007252,3620441,3946787,4021030,4276843,4689989,4615198,4930698,4827323,5374859,6361815,6611226,6964955,
100,M.A.C. Debt Service,462900,225236,501534,110772,10000,10000,2750,0,0,0,0,0,0,0,
101,Public Advocate,2821,1854,2069,3110,2903,3031,3115,2809,2573,2256,1797,1803,1807,1807,
102,City Council,47094,43876,45462,46329,47886,50588,51211,49482,51478,52883,52883,52883,52883,52883,
103,City Clerk,2650,2531,2963,3009,3117,3630,3812,4330,4221,4743,4602,4629,4632,4635,
125,Department for the Aging,166272,116533,88119,99697,132764,133165,139140,166283,158078,142509,99415,99415,99415,99415,
126,Department of Cultural Affairs,122942,119435,117153,120563,134266,147812,159002,148586,140567,141189,100710,100710,100710,100710,
127,Financial Info. Serv. Agency,26104,26493,29869,31100,37132,42585,43965,44666,45885,48105,58187,61217,61278,61331,
130,Department of Juvenile Justice,74566,76845,62859,68299,76493,85206,97632,96496,103915,166013,0,0,0,0,
131,Office of Payroll Admin.,5900,5812,6199,8205,8188,9426,11195,11632,22171,61722,65426,52484,36427,36427,
132,Independent Budget Office,2551,2262,2422,2518,2658,2845,2925,2884,3189,4463,4407,4407,4407,4407,
133,Equal Employment Practices Com,342,475,474,538,729,785,764,766,751,744,744,745,745,745,
134,Civil Service Commission,471,480,461,483,465,530,583,607,554,685,751,751,751,751,
136,Landmarks Preservation Comm.,2651,2450,2539,2877,2945,3550,3727,3858,4090,4652,4180,4205,4211,4211,
138,Districting Commission,0,1660,4,0,0,0,0,0,0,0,0,0,0,0,
156,Taxi & Limousine Commission,22597,21527,23165,24847,25554,25953,27763,28875,30098,31460,32174,32174,32174,32174,
