Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Current Source Energy Intensity (kBtu/Sq. Ft.),2010 Current Total GHG Emissions (MtCO2e) â ,2011 Rating * ,2011 Source Energy Intensity (kBtu/Sq. Ft.) ,2011 Total GHG Emissions (MtCO2e) † ,Address ,City ,State ,Zip ,Gross Sq.Ft. ,Year Built 
3,3228,20,3073408,200 Central Day Care Center Inc.,ACS,N/A,141.4,116.8,N/A,116.8,98.3,200 Central Ave,Brooklyn,NY,11221,24500,1971
1,93,1,1001280,ACS Administrative Site,ACS,60,260.5,3121.5,58,263.9,3161.8,150 William St,New York,NY,10038,426234,1927
1,1723,10,1053499,ACS Administrative Site,ACS,93,138.6,194.9,92,142.3,200.2,55 West 125th St,New York,NY,10027,50031,1974
2,3167,1,2013811,ACS Administrative Site,ACS,82,185.4,323.3,80,191.6,334.1,2501 Grand Concourse,Bronx,NY,10468,62034,1930
3,2151,6,3059752,ACS Administrative Site,ACS,63,192.9,207.6,65,185,187.2,185 Marcy Ave,Brooklyn,NY,11211,32000,1905
3,4484,13,3098733,ACS Administrative Site,ACS,55,301.6,210.6,60,283,193.3,2554 Linden Blvd,Brooklyn,NY,11208,22000,1934
5,16,54,5000185,ACS Administrative Site,ACS,71,217.1,121.7,62,240.3,134.7,350 Saint Mark's Pl,Staten Island,NY,10301,19935,1964
2,4101,1,2044743,ACS Bronx Field Office,ACS,32,334.5,135.3,44,286.2,111.3,974 Morris Park Ave,Bronx,NY,10462,13500,1929
1,355,54,1079669,Action for Progress,ACS,N/A,139.7,130,N/A,71.8,68.1,255 East Houston St,New York,NY,10002,31700,1971
2,4226,30,2096969,Administration Site,ACS,80,193,344.3,85,174.8,311.9,1200 Waters Pl,Bronx,NY,10461,63462,2004
3,2022,18,3057913,Administration Site,ACS,35,329.1,711.3,47,286.3,610.1,1274 Bedford Ave,Brooklyn,NY,11216,66000,1968
3,1520,51,3339185,Advent Day Care Center,ACS,N/A,172.7,66.3,N/A,142.7,56.4,265 Sumpter St,Brooklyn,NY,11233,12623,1973
4,12022,20,4260903,Afro-American Parents ED Center #1,ACS,N/A,211.1,88.5,N/A,221.4,92.4,117-16 Sutphin Blvd,Queens,NY,11434,14475,1931
4,11966,1,4258993,Afro-American Parents ED Center #2,ACS,N/A,182.8,140.5,N/A,149.7,115,112-06 Sutphin Blvd,Queens,NY,11435,27340,1971
4,12451,14,4268969,Afro-American Parents FDC #3,ACS,N/A,166,116.3,N/A,159.8,112,118-49 Montauk St,Queens,NY,11412,24930,1974
3,1230,44,3031082,Albany Day Care / Senior Center,ACS,N/A,129.3,193.8,N/A,134.2,200,196 Albany Ave,Brooklyn,NY,11213,49130,1973
3,1783,1,3049709,Alonzo Daughatry #3 Day Care Center,ACS,N/A,177.4,107.8,N/A,94,57.1,1005 Bedford Ave,Brooklyn,NY,11205,21620,1972
4,12062,51,4261925,Alpha Kappa Alpha Sorority Child Care Center,ACS,N/A,153.7,103.3,N/A,136.6,91.8,144-06 Rockaway Blvd,Queens,NY,11436,23900,1971
4,10193,1,4216947,Amistad Early Child Development Center,ACS,N/A,144.3,137.5,N/A,135.9,128.5,110-15 164th Pl,Queens,NY,11433,32830,1973
3,1769,7,3049206,Aquadilla Day Care Center,ACS,N/A,209.1,153.1,N/A,223.2,170.7,656 Willoughby Ave,Brooklyn,NY,11206,21970,1927
1,2076,41,1061917,Area Day Care Center,ACS,N/A,471.6,174.8,N/A,471,177.2,510 West 145th St,New York,NY,10031,11986,1972
3,3448,15,3080179,Audrey Johnson Day Care Center,ACS,N/A,85.7,102.4,N/A,93.8,117.7,272 Moffat St,Brooklyn,NY,11207,35000,1960
2,3044,24,2011440,Bathgate Day Care Center,ACS,N/A,325.1,205.2,N/A,342.7,216.4,1997 Bathgate Ave,Bronx,NY,10457,22460,1970
3,2220,38,3060902,Bedford-Harrison Day Care Center,ACS,N/A,112.7,79.2,N/A,136.9,96.2,60 Harrison Ave,Brooklyn,NY,11211,25000,1971
1,962,100,1087295,Bellevue Hospital Center,ACS,N/A,362.4,1423.8,N/A,347.8,1366.5,492 1st Ave,New York,NY,10016,117833,1910
2,3089,24,2012517,Belmont Community Day Care Center,ACS,N/A,217,144,N/A,172.4,114.4,2340 Cambreleng Ave,Bronx,NY,10458,23600,1971
