Borough,Zip Code,Phone,Districts Served,Hours,Location 1
Bronx,10458,718-935-2178,"7, 9, 10","Monday-Friday, 8:00am-3:00pm","1 Fordham Plaza
Bronx, NY 10458
(40.86260132868841, -73.88479001504714)"
Bronx,10462,718-935-2278,"8, 11, 12","Monday-Friday, 8:00am-3:00pm","1230 Zerega Avenue
Bronx, NY 10462
(40.83350254294294, -73.84505192808636)"
Brooklyn,11230,718-935-2313,"17, 18, 22","Monday-Friday, 8:00am-3:00pm","1780 Ocean Avenue
Brooklyn, NY 11230
(40.61861566079161, -73.95514627992958)"
Brooklyn,11209,718-935-2331,"20, 21","Monday-Friday, 8:00am-3:00pm","415 89th Street
Brooklyn, NY 11209
(40.62041885015069, -74.02900947197249)"
Brooklyn,11233,718-935-2340,"19, 23, 32","Monday-Friday, 8:00am-3:00pm","1665 St Mark's Avenue
Brooklyn, NY 11233
(40.67315873575299, -73.9119837092521)"
Brooklyn (Note: General Education Only),11217,718-935-2371,"13, 14, 15, 16","Monday-Friday, 8:00am-3:00pm","29 Fort Greene Place
Brooklyn (Note: General Education Only, NY 11217
(40.68897153307231, -73.97689848785359)"
Brooklyn (Note: Special Education Only),11201,718-935-4908,"13, 14, 15, 16","Monday-Friday, 8:00am-3:00pm","131 Livingston Street
Brooklyn (Note: Special Education Only, NY 11201
(40.69077924928718, -73.9886151753521)"
Manhattan,10001,718-935-2383,"1, 2, 4","Monday-Friday, 8:00am-3:00pm","333 Seventh Avenue
Manhattan, NY 10001
(40.747492275236596, -73.99319231774615)"
Manhattan,10027,718-935-2385,"3, 5, 6","Monday-Friday, 8:00am-3:00pm","388 125th Street
Manhattan, NY 10027
(40.81124166756702, -73.9537766018919)"
Queens,11101,718-935-2386,"24, 30","Monday-Friday, 8:00am-3:00pm","28 11 Queens Plaza
Queens, NY 11101
(40.74570244980828, -73.93866902925225)"
Queens,11354,718-935-2391,"25, 26","Monday-Friday, 8:00am-3:00pm","30 48 Linden Place
Queens, NY 11354
(40.76862022064671, -73.82719028070687)"
Queens,11435,718-935-2393,"27, 28, 29","Monday-Friday, 8:00am-3:00pm","90 27 Sutphin Boulevard
Queens, NY 11435
(40.70119264912154, -73.80979665579099)"
Staten Island,10301,718-935-2402,31,"Monday-Friday, 8:00am-3:00pm","718 Ocean Terrace
Staten Island, NY 10301
(40.60837741930288, -74.10186829020036)"
