JURISDICTION NAME,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,PERCENT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL
Bronx CD 001,59,31,0.53,28,0.47,0,0,59,100,0,0,21,0.36,0,0,1,0.02,0,0,32,0.54,4,0.07,1,0.02,59,100,3,0.05,55,0.93,1,0.02,0,0,59,100,20,0.34,39,0.66,0,0,59
Bronx CD 002,7,5,0.71,2,0.29,0,0,7,100,0,0,3,0.43,0,0,0,0,0,0,4,0.57,0,0,0,0,7,100,2,0.29,5,0.71,0,0,0,0,7,100,3,0.43,4,0.57,0,0,7
Bronx CD 003,15,12,0.8,3,0.2,0,0,15,100,0,0,6,0.4,0,0,0,0,0,0,8,0.53,1,0.07,0,0,15,100,2,0.13,13,0.87,0,0,0,0,15,100,6,0.4,9,0.6,0,0,15
Bronx CD 004,44,27,0.61,17,0.39,0,0,44,100,1,0.02,24,0.55,1,0.02,0,0,0,0,16,0.36,1,0.02,1,0.02,44,99,2,0.05,42,0.95,0,0,0,0,44,100,13,0.3,31,0.7,0,0,44
Bronx CD 005,18,7,0.39,11,0.61,0,0,18,100,0,0,8,0.44,0,0,0,0,0,0,10,0.56,0,0,0,0,18,100,3,0.17,15,0.83,0,0,0,0,18,100,8,0.44,10,0.56,0,0,18
Bronx CD 006,24,10,0.42,14,0.58,0,0,24,100,0,0,10,0.42,0,0,0,0,1,0.04,11,0.46,2,0.08,0,0,24,100,0,0,24,1,0,0,0,0,24,100,14,0.58,10,0.42,0,0,24
Bronx CD 007,213,128,0.6,85,0.4,0,0,213,100,0,0,100,0.47,1,0,6,0.03,1,0,93,0.44,12,0.06,0,0,213,100,15,0.07,196,0.92,2,0.01,0,0,213,100,67,0.31,146,0.69,0,0,213
Bronx CD 008,78,48,0.62,30,0.38,0,0,78,100,0,0,51,0.65,0,0,0,0,2,0.03,22,0.28,3,0.04,0,0,78,100,2,0.03,74,0.95,2,0.03,0,0,78,100,27,0.35,51,0.65,0,0,78
Bronx CD 009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bronx CD 010,40,30,0.75,10,0.25,0,0,40,100,0,0,19,0.48,0,0,1,0.03,5,0.13,15,0.38,0,0,0,0,40,100,3,0.08,36,0.9,1,0.03,0,0,40,100,15,0.38,25,0.63,0,0,40
