PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
GENERAL EDUCATION ,Kindergarten             ,,20.7
GENERAL EDUCATION ,1,,21.3
GENERAL EDUCATION ,2,,21
GENERAL EDUCATION ,3,,21.2
GENERAL EDUCATION ,4,,23.8
GENERAL EDUCATION ,5,,24.9
GENERAL EDUCATION ,6,,25.7
GENERAL EDUCATION ,7,,27
GENERAL EDUCATION ,8,,27.1
GENERAL EDUCATION ,09#           ,,25.8
GENERAL EDUCATION,9,ENGLISH,27.3
GENERAL EDUCATION,9,MATH   ,27.4
GENERAL EDUCATION,9,SOCIAL STUDIES,28.5
GENERAL EDUCATION,9,SCIENCE,28.5
GENERAL EDUCATION,10,ENGLISH,28.5
GENERAL EDUCATION,10,MATH   ,28
GENERAL EDUCATION,10,SOCIAL STUDIES,28.9
GENERAL EDUCATION,10,SCIENCE,28.9
GENERAL EDUCATION,11,ENGLISH,28.1
GENERAL EDUCATION,11,MATH   ,28
GENERAL EDUCATION,11,SOCIAL STUDIES,28.6
GENERAL EDUCATION,11,SCIENCE,28.7
GENERAL EDUCATION,12,ENGLISH,27.9
GENERAL EDUCATION,12,MATH   ,27.1
GENERAL EDUCATION,12,SOCIAL STUDIES,28.6
GENERAL EDUCATION,12,SCIENCE,27.8
SPECIAL CLASS - Grades K-9#,12:1           ,,10.5
SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.2
SPECIAL CLASS - High School,Mainstream,ENGLISH,25
SPECIAL CLASS - High School,Mainstream,MATH   ,25.6
SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,26.5
SPECIAL CLASS - High School,Mainstream,SCIENCE,26.1
SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.7
SPECIAL CLASS - High School,Self-Contained,MATH   ,13.1
SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.1
SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.4
COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,19.3
COLLABORATIVE TEAM TEACHING    ,1,,20.7
COLLABORATIVE TEAM TEACHING    ,2,,20.5
COLLABORATIVE TEAM TEACHING    ,3,,21.3
COLLABORATIVE TEAM TEACHING    ,4,,23
COLLABORATIVE TEAM TEACHING    ,5,,23.9
COLLABORATIVE TEAM TEACHING    ,6,,24
COLLABORATIVE TEAM TEACHING    ,7,,25.3
COLLABORATIVE TEAM TEACHING    ,8,,24.8
GIFTED & TALENTED    ,Kindergarten             ,,20.3
GIFTED & TALENTED    ,1,,22.7
GIFTED & TALENTED    ,2,,22.7
GIFTED & TALENTED    ,3,,23.6
GIFTED & TALENTED    ,4,,24.9
GIFTED & TALENTED    ,5,,26.8
GIFTED & TALENTED    ,6,,28.6
GIFTED & TALENTED    ,7,,29
GIFTED & TALENTED    ,8,,28.6
