NEIGHBORHOOD,TYPE OF HOME,TOTAL NO. OF PROPERTIES,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES                        ,87,1,$345752.00,$345752.00,$345752.00,$345752.00
BATHGATE                 ,02 TWO FAMILY HOMES                        ,308,8,$183028.00,$327310.00,$334750.00,$415440.00
BATHGATE                 ,03 THREE FAMILY HOMES                      ,131,10,$162240.00,$536674.00,$602500.00,$640000.00
BAYCHESTER               ,01 ONE FAMILY HOMES                        ,2493,48,$165000.00,$340465.00,$342500.00,$500000.00
BAYCHESTER               ,02 TWO FAMILY HOMES                        ,2965,74,$200000.00,$458667.00,$495000.00,$636000.00
BAYCHESTER               ,03 THREE FAMILY HOMES                      ,896,9,$330000.00,$478589.00,$508800.00,$575000.00
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES                        ,296,12,$150500.00,$319987.00,$309000.00,$530000.00
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES                        ,616,14,$228714.00,$420917.00,$435000.00,$620000.00
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES                      ,259,11,$224000.00,$511940.00,$527845.00,$685000.00
BELMONT                  ,02 TWO FAMILY HOMES                        ,313,11,$200000.00,$402303.00,$407000.00,$731000.00
BELMONT                  ,03 THREE FAMILY HOMES                      ,236,7,$196000.00,$412680.00,$471277.00,$525000.00
BRONXDALE                ,01 ONE FAMILY HOMES                        ,1300,40,$165000.00,$319013.00,$303750.00,$607500.00
BRONXDALE                ,02 TWO FAMILY HOMES                        ,1855,43,$204110.00,$450890.00,$460000.00,$650000.00
BRONXDALE                ,03 THREE FAMILY HOMES                      ,458,17,$275000.00,$461367.00,$445000.00,$712775.00
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES                        ,788,17,$225000.00,$323771.00,$335000.00,$385000.00
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES                        ,1500,33,$265000.00,$474881.00,$475000.00,$1000000.00
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES                      ,412,7,$250000.00,$458796.00,$499924.00,$680000.00
CITY ISLAND              ,01 ONE FAMILY HOMES                        ,834,18,$165000.00,$419133.00,$447500.00,$550000.00
CITY ISLAND              ,02 TWO FAMILY HOMES                        ,258,5,$330000.00,$518372.00,$550000.00,$661862.00
CITY ISLAND-PELHAM STRIP ,01 ONE FAMILY HOMES                        ,44,2,$1600000.00,$1617500.00,$1617500.00,$1635000.00
CO-OP CITY               ,01 ONE FAMILY HOMES                        ,19,1,$230000.00,$230000.00,$230000.00,$230000.00
