Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
BRONX,3,2006,Female,6480,656,794,12.3,2084,32.2,3403,52.5,199,3.1,3602,55.6
BRONX,3,2006,Male,6816,645,1360,20,2373,34.8,2944,43.2,139,2,3083,45.2
BRONX,3,2007,Female,7675,649,1123,14.6,2794,36.4,3515,45.8,243,3.2,3758,49
BRONX,3,2007,Male,8196,640,1811,22.1,3070,37.5,3126,38.1,189,2.3,3315,40.4
BRONX,3,2008,Female,7428,653,713,9.6,2813,37.9,3561,47.9,341,4.6,3902,52.5
BRONX,3,2008,Male,7952,646,1309,16.5,3049,38.3,3314,41.7,280,3.5,3594,45.2
BRONX,3,2009,Female,7535,659,481,6.4,2094,27.8,4619,61.3,341,4.5,4960,65.8
BRONX,3,2009,Male,7996,650,969,12.1,2743,34.3,4039,50.5,245,3.1,4284,53.6
BRONX,3,2010,Female,7474,659,1587,21.2,2978,39.8,2250,30.1,659,8.8,2909,38.9
BRONX,3,2010,Male,7980,654,2258,28.3,3102,38.9,2081,26.1,539,6.8,2620,32.8
BRONX,3,2011,Female,7527,657,1366,18.1,3137,41.7,2893,38.4,131,1.7,3024,40.2
BRONX,3,2011,Male,7905,651,2153,27.2,3330,42.1,2349,29.7,73,0.9,2422,30.6
BRONX,3,2012,Female,7552,658,1466,19.4,3087,40.9,2788,36.9,211,2.8,2999,39.7
BRONX,3,2012,Male,8042,652,2365,29.4,3226,40.1,2348,29.2,103,1.3,2451,30.5
BRONX,4,2006,Female,6790,651,841,12.4,2451,36.1,3260,48,238,3.5,3498,51.5
BRONX,4,2006,Male,6865,643,1341,19.5,2403,35,2964,43.2,157,2.3,3121,45.5
BRONX,4,2007,Female,7589,649,914,12,2888,38.1,3555,46.8,232,3.1,3787,49.9
BRONX,4,2007,Male,8186,639,1557,19,3278,40,3215,39.3,136,1.7,3351,40.9
BRONX,4,2008,Female,7451,651,811,10.9,2576,34.6,3837,51.5,227,3,4064,54.5
BRONX,4,2008,Male,7983,639,1561,19.6,2891,36.2,3387,42.4,144,1.8,3531,44.2
BRONX,4,2009,Female,7394,658,426,5.8,2239,30.3,4515,61.1,214,2.9,4729,64
BRONX,4,2009,Male,7843,650,858,10.9,2606,33.2,4265,54.4,114,1.5,4379,55.8
BRONX,4,2010,Female,7595,661,977,12.9,3801,50,2659,35,158,2.1,2817,37.1
BRONX,4,2010,Male,7982,655,1586,19.9,4022,50.4,2277,28.5,97,1.2,2374,29.7
BRONX,4,2011,Female,7529,664,816,10.8,3442,45.7,3210,42.6,61,0.8,3271,43.4
BRONX,4,2011,Male,8022,657,1449,18.1,3853,48,2677,33.4,43,0.5,2720,33.9
BRONX,4,2012,Female,7294,666,835,11.4,3235,44.4,3096,42.4,128,1.8,3224,44.2
BRONX,4,2012,Male,7715,657,1522,19.7,3591,46.5,2537,32.9,65,0.8,2602,33.7
BRONX,5,2006,Female,7418,645,742,10,3150,42.5,3216,43.4,310,4.2,3526,47.5
BRONX,5,2006,Male,7533,639,1085,14.4,3352,44.5,2878,38.2,218,2.9,3096,41.1
BRONX,5,2007,Female,7725,647,704,9.1,3654,47.3,3228,41.8,139,1.8,3367,43.6
BRONX,5,2007,Male,8216,641,1155,14.1,3739,45.5,3215,39.1,107,1.3,3322,40.4
BRONX,5,2008,Female,7404,654,216,2.9,2673,36.1,4391,59.3,124,1.7,4515,61
BRONX,5,2008,Male,8046,649,456,5.7,3152,39.2,4310,53.6,128,1.6,4438,55.2
BRONX,5,2009,Female,7342,662,82,1.1,2316,31.5,4596,62.6,348,4.7,4944,67.3
BRONX,5,2009,Male,7868,658,156,2,2755,35,4622,58.7,335,4.3,4957,63
BRONX,5,2010,Female,7309,665,1283,17.6,3156,43.2,2296,31.4,574,7.9,2870,39.3
BRONX,5,2010,Male,7790,659,1933,24.8,3520,45.2,1972,25.3,365,4.7,2337,30
BRONX,5,2011,Female,7480,663,958,12.8,3532,47.2,2807,37.5,183,2.4,2990,40
