Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
"13 Playwrights, Inc.",11205,(917) 886-6545,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,"195 Willoughby Avenue
Brooklyn, NY
(40.69205973381636, -73.96416922796848)"
"1687, Inc.",10014,(212) 252-3499,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"1000 New
York, NY
(43.20390300022325, -76.94420299966868)"
18 Mai Committee,11225,(718) 270-6935,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"832 Franklin Avenue
Brooklyn, NY
(40.669503883580894, -73.95842026621544)"
"3 Graces Theater Co., Inc.",10163,(917) 385-0332,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"442 New
York, NY
(43.20390300022325, -76.94420299966868)"
3 Legged Dog,10006,(212) 645-0374,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"80 Greenwich Street
New York, NY
(40.70760956596989, -74.01378806007995)"
"42nd Street Workshop, Inc.",10018,(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"312 36th Street
New York, NY
(40.655644255399565, -74.00666248659343)"
"52nd Street Project, Inc.",10019,(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"789 Tenth Avenue
New York, NY
(40.76688165818831, -73.99018858216829)"
"7 Loaves, Inc.",10003,(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"239 5th Street
New York, NY
(40.67240869320658, -73.98591208530004)"
"826NYC, Inc.",11215,(718) 499-9884,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,"372 Fifth Avenue
Brooklyn, NY
(40.67139173632854, -73.9844772728158)"
"A Better Jamaica, Inc.",11434,(718) 657-2605,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens,"114 73 178th Street
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
A Gathering of the Tribes,10009,(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"285 3rd Street
New York, NY
(40.756053999992105, -73.9869510002884)"
A Public Space Literary Projects Inc.,11217,(718) 858-8067,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"323 Dean Street
Brooklyn, NY
(40.68393342281944, -73.98119379496816)"
ABAKUA Afro-Latin Dance Company,11215,(917) 570-6089,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"250 Ninth Street
Brooklyn, NY
(40.67043106755073, -73.98898298381096)"
ABC Cooperation,10458,(212) 232-4567,Architecture/Design,Bronx Council District #11,,Manhattan,"222 Bedford Avenue Boulevard
Bronx, NY
(40.82557699997852, -73.91844899972153)"
ABC No Rio,10002,(212) 254-3697,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"156 Rivington Street
New York, NY
(40.719199604194785, -73.98543116863328)"
"AHL Foundation, Inc.",10011,(516) 983-3935,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"420 23rd Street
New York, NY
(40.736531830041464, -73.97816944534385)"
"AKTINA Productions, Inc.",11105,(718) 545-1151,Music,Queens Council District #22,Queens Community Board #1,Queens,"23 50 27th Street
Astoria, NY
"
ANDHOW! Theater Company Inc.,11217,(718) 398-3690,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
ARTs East New York Inc.,11207,(917) 756-0133,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,"568 Jerome St
Brooklyn, NY
(40.667188699215906, -73.88520654134761)"
"ASDT, Inc. - The American Spanish Dance Theatre",10010,(212) 674-6725,Dance,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"144 24th Street
New York, NY
(40.661523825147825, -73.9982975613772)"
