BROOKLYN CONDOMINIUM PROPERTY Boro-Block-Lot,BROOKLYN CONDOMINIUM PROPERTY Condo Section,BROOKLYN CONDOMINIUM PROPERTY Address,BROOKLYN CONDOMINIUM PROPERTY Neighborhood,BROOKLYN CONDOMINIUM PROPERTY Building Classification,BROOKLYN CONDOMINIUM PROPERTY Total Units,BROOKLYN CONDOMINIUM PROPERTY Year Built,BROOKLYN CONDOMINIUM PROPERTY Gross SqFt,BROOKLYN CONDOMINIUM PROPERTY Est. Gross Income,BROOKLYN CONDOMINIUM PROPERTY Gross Income per SqFt,BROOKLYN CONDOMINIUM PROPERTY Full Market Value,BROOKLYN CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
3-00027-7501,658-R1,1 MAIN STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,124,1913,227916,4957173,21.75,21500004,94,3-00271-0001,205 STATE STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,364,2003,242752,5871312,24.19,25500000,105,0.9,3-00221-0020,80 CRANBERRY STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,137,1900,108780,2220912,20.42,9640000,89,0.35
3-00028-7501,1370-R1,31 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,13,2001,24672,703152,28.5,3370001,137,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0.1,3-00226-0004,89 HICKS STREET,BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,636878,30.3,3050000,145,0.4
3-00031-7502,1181-R1,50 BRIDGE STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,58,1904,52530,945540,18,3739997,71,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1259661,24.73,5470000,107,0.3,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,0.1
3-00035-7501,1771-R1,4 WATER STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,13,2007,20085,721854,35.9,3620000,180,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0.2,3-00226-0004,89 HICKS STREET,BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,636878,30.3,3050000,145,0.3
3-00036-7501,1000-R1,30 MAIN STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,87,1910,158053,3951325,25,17200002,109,3-00051-0001,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2337487,18.9,9250000,75,0.15,3-00236-0103,52 CLARK STREET,BROOKLYN HEIGHTS,D5-ELEVATOR,142,1928,79460,2280583,28.7,10900000,137,0.45
3-00036-7502,1073-R1,42 MAIN STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,21,1910,23150,544025,23.5,2359996,102,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,0.4,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1259661,24.73,5470000,107,0
3-00036-7503,1580-R1,57 FRONT STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,31,1899,41476,932795,22.49,4050001,98,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,0.4,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1-ELEVATOR,33,1910,24570,635157,25.9,2760000,112,0.45
3-00045-7501,1422-R1,70 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,259,1916,375000,6843750,18.25,27099997,72,3-00051-0001,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2337487,18.9,9250000,75,0.05,3-00271-0001,205 STATE STREET,DOWNTOWN-FULTON MALL,D1-ELEVATOR,364,2003,242752,5871312,24.19,25500000,105,0.8
3-00051-7501,1543-R1,84 FRONT STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,56,2006,58066,1962630,33.8,9400002,162,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0,3-00237-0054,25 MONROE PLACE,BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,60720,1666625,27.4,7980000,131,0.45
3-00052-7501,1731-R1,85 ADAMS STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,79,2006,87554,1926188,22,8359991,95,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0.05,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1259661,24.73,5470000,107,0.2
3-00053-7501,1735-R1,100 JAY STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,266,2006,301131,5766658,19.15,24999998,83,3-00051-0001,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,104,1914,123700,2337487,18.9,9250000,75,0.1,3-00250-0030,182 MONTAGUE STREET,BROOKLYN HEIGHTS,D6-ELEVATOR,187,1999,182000,8007050,44,40200000,221,0.6
3-00055-7501,1058-R1,79 BRIDGE STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,37,1920,35464,877024,24.73,3810000,107,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1259661,24.73,5470000,107,0.4,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,0.05
3-00055-7502,1703-R1,206 FRONT STREET,DOWNTOWN-FULTON FERRY,R4-ELEVATOR,31,2006,35389,875169,24.73,3800001,107,3-00042-0018,254 WATER STREET,DOWNTOWN-FULTON FERRY,D8-ELEVATOR,26,2002,28358,632997,22.32,2750000,97,0.05,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1259661,24.73,5470000,107,0.4
3-00169-7501,1273-R1,53 BOERUM PLACE,DOWNTOWN-FULTON MALL,R4-ELEVATOR,99,2003,73232,2475241,33.8,11899996,162,3-00051-0012,65 WASHINGTON STREET,DOWNTOWN-FULTON FERRY,D7-ELEVATOR,59,2000,50457,1813242,35.9,9090000,180,0.85,3-00237-0054,25 MONROE PLACE,BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,60720,1666625,27.4,7980000,131,0.5
3-00180-7501,1409-R1,560 STATE STREET,BOERUM HILL,R2-WALK-UP,39,1990,42550,1167997,27.4,5590001,131,3-00237-0054,25 MONROE PLACE,BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,60720,1666625,27.4,7980000,131,1.05,3-00275-0001,200 CLINTON STREET,BROOKLYN HEIGHTS,D7-ELEVATOR,94,1926,73032,1730892,23.7,7520000,103,0.9
3-00180-7502,1719-R1,556 STATE STREET,BOERUM HILL,R4-ELEVATOR,71,2006,70037,1855980,26.5,8060008,115,3-00193-0050,129 BOERUM PLACE,BOERUM HILL,D9-ELEVATOR,46,1999,42000,1270348,30.2,6090000,145,0.65,3-00225-0020,35 PINEAPPLE STREET,BROOKLYN HEIGHTS,D9-ELEVATOR,15,1900,11842,364019,30.7,1740000,147,1.25
3-00185-7502,1977-R1,52 3 AVENUE,BOERUM HILL,R2-WALK-UP,15,2005,19605,411705,21,1790000,91,3-00278-0015,145 COURT STREET,BOERUM HILL,C7-WALK-UP,22,1900,16800,352911,21.01,1530000,91,0.6,3-00182-0057,103 SMITH STREET,BOERUM HILL,C7-WALK-UP,28,1900,19200,388124,20.21,1690000,88,0.4
3-00207-7501,123-R1,55 POPLAR STREET,BROOKLYN HEIGHTS,R4-ELEVATOR,57,1910,52396,1241785,23.7,5390003,103,3-00036-0016,16 WATER STREET,DOWNTOWN-FULTON FERRY,D5-ELEVATOR,23,1910,50932,1259661,24.73,5470000,107,0.15,3-00226-0004,89 HICKS STREET,BROOKLYN HEIGHTS,D3-ELEVATOR,48,1940,21000,636878,30.3,3050000,145,0.2
3-00207-7502,321-R1,75 POPLAR STREET,BROOKLYN HEIGHTS,R4-ELEVATOR,56,1910,74131,2001537,27,9589997,129,3-00237-0054,25 MONROE PLACE,BROOKLYN HEIGHTS,D3-ELEVATOR,67,1938,60720,1666625,27.4,7980000,131,0.35,3-00275-0001,200 CLINTON STREET,BROOKLYN HEIGHTS,D7-ELEVATOR,94,1926,73032,1730892,23.7,7520000,103,0.75
3-00242-7501,196-R1,205 HICKS STREET,BROOKLYN HEIGHTS,R9-CONDOPS,23,1900,25230,489714,19.41,2070000,82,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1-ELEVATOR,33,1910,24570,635157,25.9,2760000,112,0.1,,,,,,,,,,,,
