REGION###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
1,GENERAL EDUCATION ,Kindergarten             ,,21.7
1,GENERAL EDUCATION ,1,,22.5
1,GENERAL EDUCATION ,2,,21.9
1,GENERAL EDUCATION ,3,,21.5
1,GENERAL EDUCATION ,4,,24
1,GENERAL EDUCATION ,5,,24.7
1,GENERAL EDUCATION ,6,,25
1,GENERAL EDUCATION ,7,,26.6
1,GENERAL EDUCATION ,8,,26.7
1,GENERAL EDUCATION,9,ENGLISH,26.8
1,GENERAL EDUCATION,9,MATH   ,27.2
1,GENERAL EDUCATION,9,SOCIAL STUDIES,28.1
1,GENERAL EDUCATION,9,SCIENCE,27.6
1,GENERAL EDUCATION,10,ENGLISH,27.2
1,GENERAL EDUCATION,10,MATH   ,27.5
1,GENERAL EDUCATION,10,SOCIAL STUDIES,27.6
1,GENERAL EDUCATION,10,SCIENCE,27.5
1,GENERAL EDUCATION,11,ENGLISH,26.6
1,GENERAL EDUCATION,11,MATH   ,27
1,GENERAL EDUCATION,11,SOCIAL STUDIES,27.2
1,GENERAL EDUCATION,11,SCIENCE,27
1,GENERAL EDUCATION,12,ENGLISH,26.9
1,GENERAL EDUCATION,12,MATH   ,26.9
1,GENERAL EDUCATION,12,SOCIAL STUDIES,26.9
1,GENERAL EDUCATION,12,SCIENCE,27.7
1,SPECIAL CLASS - Grades K-9#,12:1           ,,10.8
1,SPECIAL CLASS - Grades K-9#,12:1:1         ,,10.9
1,SPECIAL CLASS - High School,Mainstream,ENGLISH,22.2
1,SPECIAL CLASS - High School,Mainstream,MATH   ,25.2
1,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,24.1
1,SPECIAL CLASS - High School,Mainstream,SCIENCE,24.3
1,SPECIAL CLASS - High School,Self-Contained,ENGLISH,12.6
1,SPECIAL CLASS - High School,Self-Contained,MATH   ,13.4
1,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,13.6
1,SPECIAL CLASS - High School,Self-Contained,SCIENCE,13.6
1,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,20.3
1,COLLABORATIVE TEAM TEACHING    ,1,,18.3
1,COLLABORATIVE TEAM TEACHING    ,2,,17.3
1,COLLABORATIVE TEAM TEACHING    ,3,,20.3
1,COLLABORATIVE TEAM TEACHING    ,4,,19.7
1,COLLABORATIVE TEAM TEACHING    ,5,,22.2
1,COLLABORATIVE TEAM TEACHING    ,6,,24.1
1,COLLABORATIVE TEAM TEACHING    ,7,,21.8
1,COLLABORATIVE TEAM TEACHING    ,8,,24.2
1,GIFTED & TALENTED    ,6,,29.7
1,GIFTED & TALENTED    ,7,,29.2
1,GIFTED & TALENTED    ,8,,30.6
2,GENERAL EDUCATION ,Kindergarten             ,,20.8
2,GENERAL EDUCATION ,1,,21.6
2,GENERAL EDUCATION ,2,,20.8
2,GENERAL EDUCATION ,3,,21.1
2,GENERAL EDUCATION ,4,,22.6
2,GENERAL EDUCATION ,5,,24.3
2,GENERAL EDUCATION ,6,,25.9
2,GENERAL EDUCATION ,7,,26.4
2,GENERAL EDUCATION ,8,,26.3
2,GENERAL EDUCATION,9,ENGLISH,26.5
2,GENERAL EDUCATION,9,MATH   ,27.1
2,GENERAL EDUCATION,9,SOCIAL STUDIES,28.1
2,GENERAL EDUCATION,9,SCIENCE,27.7
2,GENERAL EDUCATION,10,ENGLISH,27.1
2,GENERAL EDUCATION,10,MATH   ,26.9
2,GENERAL EDUCATION,10,SOCIAL STUDIES,27.6
2,GENERAL EDUCATION,10,SCIENCE,27.6
2,GENERAL EDUCATION,11,ENGLISH,25.8
2,GENERAL EDUCATION,11,MATH   ,25.7
2,GENERAL EDUCATION,11,SOCIAL STUDIES,26.7
2,GENERAL EDUCATION,11,SCIENCE,26.4
2,GENERAL EDUCATION,12,ENGLISH,25.9
