BIN Number,Building,SqFt,Electric, 2006 Natural Gas Usage,2006 Fuel Oil #2- Delivery,2006 Fuel Oil #4 - Delivery,2006 Fuel Oil #6 - Delivery,2006 Steam usage,2011 Electric usage,2011 Natural Gas usage ,2011 Fuel Oil #2 B5 - Delivery,2011 Fuel Oil #2- Delivery,2011 Fuel Oil #4 - Delivery,2011 Fuel Oil #6 - Delivery,2011 Steam usage,Types
2009911,Bronx Bergen Building,,,,,,,,,,N/A,N/A,1740,N/A,,Gas Primary/FO Secondary
1001289,Office Building 100 Gold St,,,,,,,,,,4660,1497,N/A,N/A,,Gas Primary/FO Secondary
1001835,Clocktower Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
2099027,Bronx Concourse Plaza,,,,,,,,,,N/A,N/A,N/A,N/A,,Gas Only
1078613,City Planning Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
3392969,Office Building (345 Adams Street),,,,,,,,,,511,N/A,N/A,N/A,,Gas Primary/FO Secondary
5000085,Office Building (130 Stuyvesant Place SI),,,,,,,,,,N/A,N/A,N/A,N/A,,"No boilers, Heated with Gas Fired Chillers"
1079215,Sun Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
1002358,Excelsior Building,,,,,,,,,,N/A,1957,N/A,N/A,,Gas Primary/FO Secondary
1001830,Louis J Lefkowitz Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
1001831,Health Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
1082757,Home Life Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
1001672,Court Square Building,,,,,,,,,,N/A,1731,N/A,N/A,,Gas Primary/FO Secondary
1079216,Emigrant Savings Building,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
2113095,Bronx Hall of Justice,,,,,,,,,,N/A,7810,N/A,N/A,,Gas Primary/FO Secondary
3000534,Brooklyn Criminal Court,,,,,,,,,,N/A,N/A,1205,N/A,,"Gas Primary/FO Secondary, also feeds Brooklyn House of Detention"
1016743,Manhattan Appellate Court,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
1085748,Manhattan Supreme Court,,,,,,,,,,N/A,N/A,N/A,N/A,,ConEd Steam
1054382,Harlem Courthouse,,,,,,,,,,N/A,3102,N/A,N/A,,Gas Primary/FO Secondary
