DBN,Grade,Year,Demographic,Number Tested,Mean Scale Score,Num Level 1,Pct Level 1,Num Level 2,Pct Level 2,Num Level 3,Pct Level 3,Num Level 4,Pct Level 4,Num Level 3 and 4,Pct Level 3 and 4
01M015,3,2006,All Students,37,651,4,10.8,14,37.8,19,51.4,0,0,19,51.4
01M015,3,2007,All Students,33,635,6,18.2,18,54.5,9,27.3,0,0,9,27.3
01M015,3,2008,All Students,39,646,3,7.7,22,56.4,14,35.9,0,0,14,35.9
01M015,3,2009,All Students,33,644,1,3,19,57.6,13,39.4,0,0,13,39.4
01M015,3,2010,All Students,25,652,10,40,11,44,3,12,1,4,4,16
01M015,3,2011,All Students,28,647,7,25,18,64.3,3,10.7,0,0,3,10.7
01M015,3,2012,All Students,21,651,7,33.3,9,42.9,4,19,1,4.8,5,23.8
01M015,4,2006,All Students,46,621,18,39.1,20,43.5,7,15.2,1,2.2,8,17.4
01M015,4,2007,All Students,42,648,2,4.8,21,50,19,45.2,0,0,19,45.2
01M015,4,2008,All Students,41,633,6,14.6,24,58.5,11,26.8,0,0,11,26.8
01M015,4,2009,All Students,38,637,6,15.8,18,47.4,14,36.8,0,0,14,36.8
01M015,4,2010,All Students,28,647,6,21.4,20,71.4,2,7.1,0,0,2,7.1
01M015,4,2011,All Students,27,660,4,14.8,16,59.3,7,25.9,0,0,7,25.9
01M015,4,2012,All Students,21,655,2,9.5,15,71.4,4,19,0,0,4,19
01M015,5,2006,All Students,28,625,8,28.6,13,46.4,7,25,0,0,7,25
01M015,5,2007,All Students,48,637,5,10.4,28,58.3,15,31.3,0,0,15,31.3
01M015,5,2008,All Students,36,643,2,5.6,19,52.8,15,41.7,0,0,15,41.7
01M015,5,2009,All Students,41,658,0,0,15,36.6,26,63.4,0,0,26,63.4
01M015,5,2010,All Students,35,656,9,25.7,19,54.3,6,17.1,1,2.9,7,20
01M015,5,2011,All Students,25,656,6,24,14,56,5,20,0,0,5,20
01M015,5,2012,All Students,21,658,5,23.8,9,42.9,7,33.3,0,0,7,33.3
01M015,6,2006,All Students,36,639,2,5.6,18,50,15,41.7,1,2.8,16,44.4
01M015,All Grades,2006,All Students,147,,32,21.8,65,44.2,48,32.7,2,1.4,50,34
01M015,All Grades,2007,All Students,123,,13,10.6,67,54.5,43,35,0,0,43,35
01M015,All Grades,2008,All Students,116,,11,9.5,65,56,40,34.5,0,0,40,34.5
01M015,All Grades,2009,All Students,112,,7,6.3,52,46.4,53,47.3,0,0,53,47.3
01M015,All Grades,2010,All Students,88,,25,28.4,50,56.8,11,12.5,2,2.3,13,14.8
01M015,All Grades,2011,All Students,80,654,17,21.3,48,60,15,18.8,0,0,15,18.8
01M015,All Grades,2012,All Students,63,655,14,22.2,33,52.4,15,23.8,1,1.6,16,25.4
01M019,3,2006,All Students,56,654,7,12.5,17,30.4,31,55.4,1,1.8,32,57.1
01M019,3,2007,All Students,44,656,3,6.8,16,36.4,25,56.8,0,0,25,56.8
01M019,3,2008,All Students,48,659,1,2.1,19,39.6,27,56.3,1,2.1,28,58.3
01M019,3,2009,All Students,46,668,2,4.3,7,15.2,34,73.9,3,6.5,37,80.4
01M019,3,2010,All Students,35,655,10,28.6,16,45.7,8,22.9,1,2.9,9,25.7
01M019,3,2011,All Students,34,657,4,11.8,19,55.9,11,32.4,0,0,11,32.4
01M019,3,2012,All Students,47,654,9,19.1,21,44.7,16,34,1,2.1,17,36.2
01M019,4,2006,All Students,54,644,9,16.7,20,37,25,46.3,0,0,25,46.3
01M019,4,2007,All Students,48,650,6,12.5,13,27.1,29,60.4,0,0,29,60.4
01M019,4,2008,All Students,49,646,6,12.2,17,34.7,26,53.1,0,0,26,53.1
01M019,4,2009,All Students,42,664,2,4.8,7,16.7,32,76.2,1,2.4,33,78.6
01M019,4,2010,All Students,40,664,1,2.5,24,60,15,37.5,0,0,15,37.5
01M019,4,2011,All Students,39,663,3,7.7,21,53.8,15,38.5,0,0,15,38.5
01M019,4,2012,All Students,37,670,1,2.7,15,40.5,21,56.8,0,0,21,56.8
01M019,5,2006,All Students,61,652,6,9.8,19,31.1,34,55.7,2,3.3,36,59
01M019,5,2007,All Students,51,654,3,5.9,18,35.3,29,56.9,1,2,30,58.8
01M019,5,2008,All Students,63,656,3,4.8,23,36.5,36,57.1,1,1.6,37,58.7
01M019,5,2009,All Students,41,673,0,0,7,17.1,30,73.2,4,9.8,34,82.9
01M019,5,2010,All Students,38,670,2,5.3,17,44.7,15,39.5,4,10.5,19,50
01M019,5,2011,All Students,39,668,2,5.1,14,35.9,23,59,0,0,23,59
01M019,5,2012,All Students,36,668,2,5.6,17,47.2,16,44.4,1,2.8,17,47.2
01M019,6,2006,All Students,45,649,1,2.2,22,48.9,21,46.7,1,2.2,22,48.9
01M019,7,2006,All Students,1,s,s,s,s,s,s,s,s,s,s,s
01M019,All Grades,2006,All Students,217,,23,10.6,79,36.4,111,51.2,4,1.8,115,53
01M019,All Grades,2007,All Students,143,,12,8.4,47,32.9,83,58,1,0.7,84,58.7
01M019,All Grades,2008,All Students,160,,10,6.3,59,36.9,89,55.6,2,1.3,91,56.9
01M019,All Grades,2009,All Students,129,,4,3.1,21,16.3,96,74.4,8,6.2,104,80.6
01M019,All Grades,2010,All Students,113,,13,11.5,57,50.4,38,33.6,5,4.4,43,38.1
01M019,All Grades,2011,All Students,112,663,9,8,54,48.2,49,43.8,0,0,49,43.8
01M019,All Grades,2012,All Students,120,663,12,10,53,44.2,53,44.2,2,1.7,55,45.8
01M020,3,2006,All Students,74,667,5,6.8,18,24.3,47,63.5,4,5.4,51,68.9
