STATEN ISLAND CONDOMINIUM PROPERTY Boro-Block-Lot,STATEN ISLAND CONDOMINIUM PROPERTY Condo Section,STATEN ISLAND CONDOMINIUM PROPERTY Address,STATEN ISLAND CONDOMINIUM PROPERTY Neighborhood,STATEN ISLAND CONDOMINIUM PROPERTY Building Classification,STATEN ISLAND CONDOMINIUM PROPERTY Total Units,STATEN ISLAND CONDOMINIUM PROPERTY Year Built,STATEN ISLAND CONDOMINIUM PROPERTY Gross SqFt,STATEN ISLAND CONDOMINIUM PROPERTY Est. Gross Income,STATEN ISLAND CONDOMINIUM PROPERTY Gross Income per SqFt,STATEN ISLAND CONDOMINIUM PROPERTY Full Market Value,STATEN ISLAND CONDOMINIUM PROPERTY Market Value per SqFt, COMPARABLE RENTAL 1 Boro-Block-Lot,COMPARABLE RENTAL 1 Address,COMPARABLE RENTAL 1  Neighborhood,COMPARABLE RENTAL 1  Building Classification,COMPARABLE RENTAL 1  Total Units,COMPARABLE RENTAL 1  Year Built,COMPARABLE RENTAL 1  Gross SqFt,COMPARABLE RENTAL 1  Est. Gross Income,COMPARABLE RENTAL 1  Gross Income per SqFt,COMPARABLE RENTAL 1 Full Market Value,COMPARABLE RENTAL 1  Market Value per SqFt,COMPARABLE RENTAL 1  Dist. from Coop in miles,COMPARABLE RENTAL 2  Boro-Block-Lot,COMPARABLE RENTAL 2  Address,COMPARABLE RENTAL 2  Neighborhood,COMPARABLE RENTAL 2  Building Classification,COMPARABLE RENTAL 2  Total Units,COMPARABLE RENTAL 2  Year Built,COMPARABLE RENTAL 2  Gross SqFt,COMPARABLE RENTAL 2  Est. Gross Income,COMPARABLE RENTAL 2  Gross Income per SqFt,COMPARABLE RENTAL 2  Full Market Value,COMPARABLE RENTAL 2  Market Value per SqFt,COMPARABLE RENTAL 2  Dist. from Coop in miles
5-00251-7501,48-R1,200 HART BOULEVARD,SILVER LAKE,R4-ELEVATOR,47,1937,51552,0,0,1677995,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,889533,11.98,3070000,41.3,1.85,,,,,,,,,,,,
5-00579-7501,45-R1,55 AUSTIN PLACE,TOMPKINSVILLE,R4-ELEVATOR,147,1965,159096,0,0,5177647,32.5,5-00593-0001,800 VICTORY BOULEVARD,GRYMES HILL,D1-ELEVATOR,150,1961,143419,1745461,12.17,6020000,42,0.85,,,,,,,,,,,,
5-00610-7501,25-R1,830 HOWARD AVENUE,SUNNYSIDE,R4-ELEVATOR,66,1981,65392,0,0,2127985,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,889533,11.98,3070000,41.3,0.75,,,,,,,,,,,,
5-00610-7502,34-R1,850 HOWARD AVENUE,SUNNYSIDE,R4-ELEVATOR,67,1981,65392,0,0,2127997,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,889533,11.98,3070000,41.3,0.75,,,,,,,,,,,,
5-00631-7501,94-R1,755 NARROWS ROAD NORTH,GRYMES HILL,R4-ELEVATOR,93,1987,72970,0,0,3687996,51,5-00589-0053,610 VICTORY BOULEVARD,GRYMES HILL,D1-ELEVATOR,72,1940,72600,897807,12.37,3100000,42.7,1.15,5-00589-0035,650 VICTORY BOULEVARD,GRYMES HILL,D1-ELEVATOR,61,1940,72860,863245,11.85,2980000,40.9,1.15
5-02400-7501,115-R1,80 RICHMOND HILL ROAD,NEW SPRINGVILLE,R4-ELEVATOR,243,1990,208726,0,0,9174995,44,5-01248-0200,110 CONTINENTAL PLACE,MARINERS HARBOR,D3-ELEVATOR,224,1953,222300,2319455,10.43,5430000,24.43,3.35,5-01245-0001,311 GRANDVIEW AVENUE,MARINERS HARBOR,D1-ELEVATOR,381,1953,312400,3259550,10.43,7630000,24.42,3.45
5-02450-7506,39-R1,2 ELMWOOD PARK DRIVE,NEW SPRINGVILLE,R4-ELEVATOR,177,1983,195678,0,0,6030003,30.8,5-03157-0001,1950 CLOVE ROAD,GRASMERE,D1-ELEVATOR,177,1973,180495,1833563,10.16,4290000,23.77,4.1,,,,,,,,,,,,
5-02450-7509,4-R1,5 WINDHAM LOOP,NEW SPRINGVILLE,R4-ELEVATOR,163,0,176455,0,0,4774011,27.1,5-02877-0025,55 BOWEN STREET,CONCORD-FOX HILLS,D1-ELEVATOR,156,1973,154860,2291762,14.8,5370000,34.7,4.6,,,,,,,,,,,,
5-02451-7501,113-R1,95 ESSEX DRIVE,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1311560,37.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.1,5-02102-0045,105 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,36,1971,29200,348468,11.93,1200000,41.1,1.1
5-02451-7501,113-R2,75 ESSEX DRIVE,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1312007,37.3,5-02102-0045,105 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,36,1971,29200,348468,11.93,1200000,41.1,1.1,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.1
5-02451-7501,113-R3,40 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1311555,37.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.1,,,,,,,,,,,,
5-02451-7501,113-R4,120 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,31,1989,35212,0,0,1312004,37.3,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.1,,,,,,,,,,,,
5-02452-7501,107-R1,41 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,1989,47880,0,0,1755711,36.7,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,889533,11.98,3070000,41.3,3.85,,,,,,,,,,,,
5-02452-7501,107-R2,121 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,52,1987,64512,0,0,2098995,32.5,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,889533,11.98,3070000,41.3,3.85,,,,,,,,,,,,
5-02452-7503,122-R1,145 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,1988,47880,0,0,1922669,40.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.25,,,,,,,,,,,,
5-02452-7503,122-R2,171 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,0,47880,0,0,1922985,40.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.25,,,,,,,,,,,,
5-02452-7503,122-R3,195 WELLINGTON COURT,NEW SPRINGVILLE,R4-ELEVATOR,37,0,47880,0,0,1922658,40.2,5-02102-0028,121 FREEDOM AVENUE,NEW SPRINGVILLE,C9-WALK-UP,56,1971,43200,567703,13.14,2070000,47.9,1.25,,,,,,,,,,,,
5-02829-7501,100-R1,31 HYLAN BOULEVARD,ROSEBANK,R4-ELEVATOR,52,0,74326,0,0,3439999,46.3,5-03003-0082,20 MERLE PLACE,ROSEBANK,D1-ELEVATOR,64,1964,61130,774516,12.67,2670000,43.7,0.55,5-03168-0161,1000 TARGEE STREET,GRASMERE,D5-ELEVATOR,98,1972,74260,889533,11.98,3070000,41.3,1.6
5-02832-7501,118-R1,6 NEW LANE,ARROCHAR-SHORE ACRES,R4-ELEVATOR,102,1987,90618,0,0,5232993,58,5-00240-0003,937 VICTORY BOULEVARD,CLOVE LAKES,D1-ELEVATOR,111,1965,107960,1327093,12.29,4580000,42.4,2.15,5-00240-0016,961 VICTORY BOULEVARD,CLOVE LAKES,D1-ELEVATOR,111,1965,107960,1335503,12.37,4610000,42.7,2.15
