Date,Census Details,Count
1/28/13,Total Shelter Census - Adults,27672
1/28/13,Total Shelter Census - Children,20592
1/28/13,Total Shelter Census - Total,48264
1/28/13,Single Adult Shelter Census - Men,7116
1/28/13,Single Adult Shelter Census - Women,2662
1/28/13,Single Adult Shelter Census - Total Single Adults,9778
1/28/13,Families With Children Census - Families,10090
1/28/13,Families With Children Census - Adults,14261
1/28/13,Families With Children Census - Children,20592
1/28/13,Families With Children Census - Total Individuals,34853
1/28/13,Adult Familes Census - Families,1722
1/28/13,Adult Familes Census - Individuals,3633
