Store,Bus City,Bus Zip,Year Opened,Business Size,Category,Business Phone,Location 1
Bank of America,Jamaica,11435,,National,BANKING,800-841-4000,"147 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
M&S Bag Plaza,Jamaica,11435,,Mom and Pop,JEWELRY & ACCESSORIES ,,"147 08 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Guayaquil Jewelry / Gold Repair,Jamaica,11435,,Mom and Pop,JEWELRY & ACCESSORIES ,718-523-8366,"147 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kanna's Nail Studio,Jamaica,11435,,Mom and Pop,HAIR & NAILS,718-526-8883,"147 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Friendly Uniform & More,Jamaica,11435,,Mom and Pop,APPAREL,,"147 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
A&J Unisex,Jamaica,11435,,Mom and Pop,HAIR & NAILS,(718) 558-4306,"147 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
GG's Convenience Store,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,(718) 658-1052,"147 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Rafael & Co. Jewelry,Jamaica,11435,,Mom and Pop,JEWELRY & ACCESSORIES ,,"147 16 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Master Furniture & Mattress,Jamaica,11435,,Mom and Pop,HOME & FURNISHINGS  ,718-526-8049,"147 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Imported European Shoes,Jamaica,11435,,Mom and Pop,FOOTWEAR,718-558-0732,"147 20 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bakery Express,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-297-3450,"147 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
.99 Dreams,Jamaica,11435,,Mom and Pop,VARIETY ,,"147 03 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Payless Shoes,Jamaica,11435,,National,FOOTWEAR,718-523-8362,"147 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jackie's Kids,Jamaica,11435,,Mom and Pop,CHILDREN,718-523-1999,"147 09 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Belle Beauty Supply,Jamaica,11435,,Mom and Pop,HEALTH & BEAUTY,718-523-6762/718-523-8834,"147 13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Lot-1 Ladies' Fashion,Jamaica,11435,,Mom and Pop,WOMEN'S FASHION,718-588-3942 ,"147 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kulka's Bakery & Café,Jamaica,11435,,Mom and Pop,FOOD & BEVERAGE,718-297-4270-718-297-1049,"147 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Avenue Designer Outlet,Jamaica,11435,,Mom and Pop,OUTLET,(718) 297-7835,"147 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Step Up,Jamaica,11435,,Mom and Pop,WOMEN'S FASHION,(718) 206-1420,"147 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
