Facility Type,License Number,Entity Name,Trade Name,Address,Address Zip Code,Telephone Number,Number of Spaces
Garage - Parking Lot Combo,1132509,"CHELSEA MTP OPERATING, LLC",,"511 25 WEST 18 STREET
NEW YORK, NY 10011
(40.74471526669623, -74.00460000028977)",10011,2125755335,250
Garage - Parking Lot Combo,1228910,"37 EAST, LLC",,"415 37 STREET
NEW YORK, NY 10016
(40.74544182100976, -73.97156362294152)",10016,2125643199,60
Parking Garage,363695,"BETHON, JOHN",J BETHON GARAGE,"46 DIAMOND STREET
BROOKLYN, NY 11222
(40.724369880482115, -73.94612061167136)",11222,7183832508,5
Parking Garage,363961,44 STATE STREET CORP,,"38 STATE STREET
BROOKLYN, NY 11201
(40.692063308957145, -73.99836233925282)",11201,2128661000,90
Parking Garage,367518,MANHATTAN PARKING SYSTEM W 58TH ST CORP,,"200 67 STREET
NEW YORK, NY 10021
(40.63874635186466, -74.02756700598034)",10021,2122493344,106
Parking Garage,367614,KINNEY SYSTEMS INC,OIL MARKET GARAGE,"575 11 AVENUE
NEW YORK, NY 10036
(40.76168358024816, -73.99772750296306)",10036,2128894444,300
Parking Garage,369201,VALOR PARKING LLC,,"235 45 STREET
NEW YORK, NY 10017
(40.75204284470482, -73.97150966361971)",10017,2126869800,90
Parking Garage,427552,SLATE PARKING CORP,,"329 21 STREET
NEW YORK, NY 10010
(40.735944980380395, -73.980296039846)",10010,2126296602,180
Parking Garage,428016,MERCER PARKING GARAGE CORP,,"165 167 MERCER STREET
NEW YORK, NY 10012
(40.72553802086304, -73.99789641059084)",10012,2122265578,120
Parking Garage,429461,1056 5TH AVE PARKING LLC,,"1056 5 AVENUE
NEW YORK, NY 10028
(40.782044227602285, -73.9600343145259)",10028,2126869800,55
Parking Garage,429675,INTERTOWN PARKING   CORP,,"55 END AVENUE
NEW YORK, NY 10028
(40.56354984156167, -74.17870866360286)",10028,2127367171,90
Parking Garage,429678,ABILITY PARKING CORP,,"200 END AVENUE
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)",10128,2122493344,41
Parking Garage,697253,DIRECT PARKING LLC,DIRECT PARKING LLC,"51 56 STREET
NEW YORK, NY 10019
(40.763002812092736, -73.97608876762429)",10019,2126869800,140
Parking Garage,731368,JO-DASH PARKING LLC,,"488 504 3 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)",10016,2126869800,55
Parking Garage,736268,PLAZA GARAGE CORP,GGMC,"1751 1763 2 AVENUE
NEW YORK, NY 10128
(40.781770000585084, -73.95062814906976)",10128,2129966363,104
Parking Garage,760802,MERIT PARKING LLC,,"39429 107 STREET
NEW YORK, NY 10029
(40.79161072055837, -73.94403228106489)",10029,2126869800,1000
Parking Garage,780839,PRIMARY PARKING LLC,,"721 10 AVENUE
NEW YORK, NY 10019
(40.764276435768046, -73.99213661656152)",10019,2126869800,181
Parking Garage,832475,IVY LEAGUE APT CORP,,"675 ACADEMY STREET
NEW YORK, NY 10034
(40.86690425428702, -73.92537444351666)",10034,7186277177,15
Parking Garage,851982,132 WEST 56TH ST GARAGE CORP,,"156 56 STREET
NEW YORK, NY 10019
(40.76441652097977, -73.97958862087043)",10019,2128887400,105
Parking Garage,855640,ASTRO PARKING LLC,,"155 70 STREET
NEW YORK, NY 10023
(40.77694507169616, -73.98173495509286)",10023,2126869800,43
Parking Garage,886174,AMBRO OPERATING CORP,,"70 20 108 STREET
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)",11375,2127511080,127
Parking Garage,889309,FLUSHING CENTER INC,,"135 20 39 AVENUE
QUEENS, NY 11354
(40.76862022064671, -73.82719028070687)",11354,7184606666,178
Parking Garage,891228,"HOLY, MIRA M",,"848 LORIMER STREET
BROOKLYN, NY 11222
(40.72213810055406, -73.95083676383737)",11222,7183896510,25
