Borough Name,Community Board,BIN,House Number,Street Name,Complaint Number,Date Complaint Received,DOBRunDate
Brooklyn,301,3061722,261         ,NORTH 9 STREET                  ,3410417,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,302,3057927,25          ,NORTH ELLIOTT PLACE             ,3404456,2012-02-27 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3062038,174         ,WYTHE AVENUE                    ,3308620,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,304,3071866,923         ,BROADWAY                        ,3308706,2009-06-17 00:00:00,2013-02-27 00:00:00
Brooklyn,302,3832425,74          ,ADELPHI STREET                  ,3406595,2012-03-21 00:00:00,2013-02-27 00:00:00
Brooklyn,307,3802409,313         ,  52 STREET                     ,3300185,2009-04-02 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3063429,120         ,SOUTH    4 STREET               ,3307732,2009-06-09 00:00:00,2013-02-27 00:00:00
Brooklyn,302,3000189,187         ,BRIDGE STREET                   ,3404454,2012-02-27 00:00:00,2013-02-27 00:00:00
Brooklyn,304,3852830,1082        ,HANCOCK STREET                  ,3406604,2012-03-21 00:00:00,2013-02-27 00:00:00
Brooklyn,316,3080676,391         ,ROCKAWAY AVENUE                 ,3308656,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,318,3850024,7007        ,VETERANS AVENUE                 ,3308775,2009-06-17 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3063589,302         ,RODNEY STREET                   ,3300209,2009-04-02 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3394438,449         ,CLASSON AVENUE                  ,3410421,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3396825,168         ,FRANKLIN AVENUE                 ,3308616,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3398411,169         ,NORTH   10 STREET               ,3410415,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,311,3397460,7608        ,BAY PARKWAY                     ,3308779,2009-06-17 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3061359,289         ,WALLABOUT STREET                ,3410418,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,302,3056277,29          ,LEXINGTON AVENUE                ,3308570,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,311,3174613,1541        ,WEST 3 STREET                   ,3410409,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,309,3106523,474         ,EAST NEW YORK AVENUE            ,3308660,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,303,3055230,199         ,SKILLMAN STREET                 ,3410438,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3061725,239         ,NORTH 9 STREET                  ,3410431,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,305,3388171,791         ,GLENMORE AVENUE                 ,3327287,2009-12-14 00:00:00,2013-02-27 00:00:00
Brooklyn,315,3196866,1610        ,AVENUE S                        ,3322341,2009-10-22 00:00:00,2013-02-27 00:00:00
Brooklyn,309,3828287,1           ,SULLIVAN PLACE                  ,3410407,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3828797,72          ,SUTTON STREET                   ,3308586,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,308,3027971,828         ,DEAN STREET                     ,3406607,2012-03-21 00:00:00,2013-02-27 00:00:00
Brooklyn,312,3853838,959         ,  41 STREET                     ,3308709,2009-06-17 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3322821,161         ,JACKSON STREET                  ,3410410,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3331571,40          ,DEVOE STREET                    ,3318672,2009-09-16 00:00:00,2013-02-27 00:00:00
Brooklyn,312,3130506,1633        ,  55 STREET                     ,3305950,2009-05-26 00:00:00,2013-02-27 00:00:00
Brooklyn,318,3855089,5518        ,AVENUE O                        ,3340524,2010-04-29 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3062371,168         ,NORTH 4 STREET                  ,3410413,2012-04-30 00:00:00,2013-02-27 00:00:00
Brooklyn,308,3396885,92          ,UTICA AVENUE                    ,3308590,2009-06-16 00:00:00,2013-02-27 00:00:00
Brooklyn,315,3183856,1882        ,EAST   12 STREET                ,3309934,2009-06-26 00:00:00,2013-02-27 00:00:00
Brooklyn,313,3847142,271         ,SEA BREEZE AVENUE               ,3300181,2009-04-02 00:00:00,2013-02-27 00:00:00
Brooklyn,306,3008326,24          ,LUQUER STREET                   ,3300189,2009-04-02 00:00:00,2013-02-27 00:00:00
Brooklyn,315,3182538,1661        ,EAST 19 STREET                  ,3421148,2012-08-14 00:00:00,2013-02-27 00:00:00
Brooklyn,301,3821518,308         ,METROPOLITAN AVENUE             ,3300217,2009-04-02 00:00:00,2013-02-27 00:00:00
Brooklyn,308,3032805,287         ,KINGSTON AVENUE                 ,3334769,2010-03-08 00:00:00,2013-02-27 00:00:00
Brooklyn,311,3173422,1414        ,WEST    4 STREET                ,3342408,2010-05-18 00:00:00,2013-02-27 00:00:00
