Year of birth,GENDER,ETHNICITY,CHILD FIRST NAME,COUNT,RANK
2009,MALE,BLACK NON HISPANIC,JAYDEN,244,1
2009,MALE,BLACK NON HISPANIC,JOSHUA,176,2
2009,MALE,BLACK NON HISPANIC,ELIJAH,143,3
2009,MALE,BLACK NON HISPANIC,JUSTIN,130,4
2009,MALE,BLACK NON HISPANIC,MICHAEL,130,4
2009,MALE,BLACK NON HISPANIC,JEREMIAH,124,5
2009,MALE,BLACK NON HISPANIC,ETHAN,114,6
2009,MALE,BLACK NON HISPANIC,CHRISTIAN,112,7
2009,MALE,BLACK NON HISPANIC,DANIEL,103,8
2009,MALE,BLACK NON HISPANIC,JOSIAH,102,9
2009,MALE,BLACK NON HISPANIC,ISAIAH,96,10
2009,MALE,BLACK NON HISPANIC,TYLER,95,11
2009,MALE,BLACK NON HISPANIC,DAVID,93,12
2009,MALE,BLACK NON HISPANIC,CHRISTOPHER,91,13
2009,MALE,BLACK NON HISPANIC,AIDEN,87,14
2009,MALE,BLACK NON HISPANIC,JORDAN,77,15
2009,MALE,BLACK NON HISPANIC,AMIR,76,16
2009,MALE,BLACK NON HISPANIC,MATTHEW,76,16
2009,MALE,BLACK NON HISPANIC,JADEN,72,17
2009,MALE,BLACK NON HISPANIC,BRANDON,71,18
2009,MALE,BLACK NON HISPANIC,MALACHI,71,18
2009,MALE,BLACK NON HISPANIC,ANTHONY,70,19
2009,MALE,BLACK NON HISPANIC,XAVIER,70,19
2009,MALE,BLACK NON HISPANIC,NOAH,69,20
2009,MALE,BLACK NON HISPANIC,AARON,60,21
2009,MALE,BLACK NON HISPANIC,JASON,59,22
2009,MALE,BLACK NON HISPANIC,TRISTAN,59,22
2009,MALE,BLACK NON HISPANIC,EMMANUEL,53,23
2009,MALE,BLACK NON HISPANIC,JACOB,53,23
2009,MALE,BLACK NON HISPANIC,JAYLEN,53,23
2009,MALE,BLACK NON HISPANIC,NICHOLAS,53,23
2009,MALE,BLACK NON HISPANIC,RYAN,53,23
2009,MALE,BLACK NON HISPANIC,ALEXANDER,50,24
2009,MALE,BLACK NON HISPANIC,AMARI,49,25
2009,MALE,BLACK NON HISPANIC,JAIDEN,48,26
2009,MALE,BLACK NON HISPANIC,JONATHAN,47,27
2009,MALE,BLACK NON HISPANIC,DYLAN,44,28
2009,MALE,BLACK NON HISPANIC,MOHAMED,44,28
2009,MALE,BLACK NON HISPANIC,CHASE,43,29
2009,MALE,BLACK NON HISPANIC,KEVIN,43,29
2009,MALE,BLACK NON HISPANIC,JOSEPH,42,30
2009,MALE,BLACK NON HISPANIC,ZION,42,30
2009,MALE,BLACK NON HISPANIC,CAMERON,41,31
2009,MALE,BLACK NON HISPANIC,GABRIEL,41,31
2009,MALE,BLACK NON HISPANIC,NASIR,39,32
2009,MALE,BLACK NON HISPANIC,PRINCE,39,32
2009,MALE,BLACK NON HISPANIC,NATHAN,38,33
2009,MALE,BLACK NON HISPANIC,AIDAN,37,34
2009,MALE,BLACK NON HISPANIC,CALEB,37,34
2009,MALE,BLACK NON HISPANIC,BRIAN,36,35
2009,MALE,BLACK NON HISPANIC,SAMUEL,36,35
