Period,Establishment Name
"July 1, 2011 - June 30, 2012","*A1 RADIATOR EXPRESS & AUTO REPAIR, INC."
"July 1, 2011 - June 30, 2012",*ADELPHIA CONTAINER CORP.
"July 1, 2011 - June 30, 2012","ALSCO JEWELRY OF NEW YORK, INC."
"July 1, 2011 - June 30, 2012",*AMERICO IZZO
"July 1, 2011 - June 30, 2012","APEXX OMNI-GRAPHICS, INC."
"July 1, 2011 - June 30, 2012","*ARCHITECTURAL COATINGS, INC."
"July 1, 2011 - June 30, 2012","ATLANTIS JEWELRY CONTRACTORS, INC."
"July 1, 2011 - June 30, 2012",*B & M LINEN CORP.
"July 1, 2011 - June 30, 2012","BNNS CO., INC."
"July 1, 2011 - June 30, 2012",BRILLIANT JEWELERS/MJJ INC.
"July 1, 2011 - June 30, 2012",CARVIN FRENCH JEWELERS INC.
"July 1, 2011 - June 30, 2012",CONTROL ELECTROPOLISHING CORP.
"July 1, 2011 - June 30, 2012","*DIVERSIFIED HEAT TRANSFER, INC."
"July 1, 2011 - June 30, 2012",*ELDORADO FINISHING INC.
"July 1, 2011 - June 30, 2012","FAM CREATIONS, INC."
"July 1, 2011 - June 30, 2012",G & J SETTING CORP.
"July 1, 2011 - June 30, 2012",HALMARK ARCHITECTURAL FINISHING CORP.
"July 1, 2011 - June 30, 2012",HAROLD HOWARD SCOTT
"July 1, 2011 - June 30, 2012","JAMES PITTA JEWELRY POLISHING, INC."
"July 1, 2011 - June 30, 2012","*JERRY'S AUTO RADIATOR, INC."
"July 1, 2011 - June 30, 2012",JP JEWELRY CORPORATION
"July 1, 2011 - June 30, 2012","*LEO INGWER, INC."
"July 1, 2011 - June 30, 2012","*LES ATELIERS DE VAN CLEEF & ARPELS, INC."
"July 1, 2011 - June 30, 2012",*M & A JEWELRY POLISHING CORP.
"July 1, 2011 - June 30, 2012",MAZZA/BARTHOLOMEW LTD.
"July 1, 2011 - June 30, 2012","*NEW RADIATOR, INC."
"July 1, 2011 - June 30, 2012",*NEW YORK LAB INC.
"July 1, 2011 - June 30, 2012",NYC DEPARTMENT OF EDUCATION
"July 1, 2011 - June 30, 2012","PARALLEL PRODUCTS OF NEW ENGLAND, INC."
"July 1, 2011 - June 30, 2012","PERRIGO NEW YORK, INC."
"July 1, 2011 - June 30, 2012",PETROLEUM TANK CLEANERS LTD.
"July 1, 2011 - June 30, 2012","*RAM JEWELRY, INC."
"July 1, 2011 - June 30, 2012","REGAL EMBLEM CO., INC."
"July 1, 2011 - June 30, 2012","RIVIERA GOLD, INC."
"July 1, 2011 - June 30, 2012","*S & L AEROSPACE METALS, LLC"
"July 1, 2011 - June 30, 2012",SUMER GOLD LTD.
"July 1, 2011 - June 30, 2012","*T.S. MANUFACTURING, INC."
"July 1, 2011 - June 30, 2012",*TRI-MART DESIGNS LTD.
"July 1, 2011 - June 30, 2012","WASTE MANAGEMENT OF NEW YORK, L.L.C."
