Manhattan North,2005,2006,2007,2008,2009,Total
19th Precinct,37,33,24,17,20,131
20th Precinct,17,21,11,19,15,83
23rd Precinct,34,39,38,34,34,179
24th Precinct,21,17,20,24,26,108
25th Precinct,45,30,46,27,21,169
26th Precinct,18,25,18,17,18,96
Central Park,12,6,5,5,5,33
28th Precinct,40,43,37,27,38,185
30th Precinct,34,22,19,24,22,121
32nd Precinct,57,64,52,76,62,311
33rd Precinct,41,37,44,31,32,185
34th Precinct,32,38,42,49,48,209
Precincts Total,388,375,356,350,341,1810
Task Force,11,8,18,21,13,71
Borough HQ,5,3,3,2,0,13
Anti-crime Unit,11,3,9,6,3,32
Patrol Borough Manhattan North Total,415,389,386,379,357,1926
