Item Description,Water Use Details
Combined water and sewer rate in New York City is:, $8.21 per 100 cubic feet of water* (07/01/11-06/30/12)
National average indoor residential water use per day per person is:, 60 - 70 gallons
50 - 75% of all residential water use occurs:, In the bathroom 
A standard (pre-1980) toilet uses:, 4.5 - 7.0 gallons per flush
1980s vintage toilet (1980 - 1992) uses:, 3.5 gallons per flush
A low-consumption toilet uses:, 1.6 gallons per flush (or less)
Displacement bags save:, 0.6 gallons per flush
Flush valve retrofit kits save:, 1.0 - 1.5 gallons per flush
The average faucet uses:, 0.5 - 5 gallons per minute
Faucet aerators reduce flow by:, 1 gallon per minute
Standard showerheads use:, 4 - 7 gallons per minute
Low-flow showerheads use:, 2.5 gallons per minute (or less)
A compact washing machine uses:, 32 gallons per load (13+ gals/cubic foot)
A standard domestic washing machine uses:, 45 - 55 gallons per load (13+ gals/cubic foot)
Water-efficient washing machines use:, 20 - 25 gallons per load (8.0 - 9.5 gals/cubic foot)
A dishwasher uses:, 5 - 15 gallons per load
