ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number
1,RESA MARINA INC.,SEAFOOD CITY,AMUSEMENT ARCADES,1136240,"459 CITY ISLAND AVENUE, BRONX, NY 10464",459,CITY ISLAND AVENUE,BRONX,NY,10464,Bronx,,(718) 526-4000
2,"CEC ENTERTAINMENT, INC.",CHUCK E. CHEESE'S,AMUSEMENT ARCADES,1141789,"1816 EAST GUNHILL ROAD, BRONX, NY 10469",1816,EAST GUNHILL ROAD,BRONX,NY,10469,Bronx,1 FL,(972) 258-5807
3,"CEC ENTERTAINMENT, INC.",CHUCK E. CHEESE'S,AMUSEMENT ARCADES,1174724,"139 FLATBUSH AVENUE, BROOKLYN, NY 11217",139,FLATBUSH AVENUE,BROOKLYN,NY,11217,Brooklyn,3 FL,(718) 230-8245
4,CENTRAL AMUSEMENT INTERNATIONAL,LUNA PARK,AMUSEMENT ARCADES,1435250,"1000 SURF AVENUE, BROOKLYN, NY 11224",1000,SURF AVENUE,BROOKLYN,NY,11224,Brooklyn,,(973) 216-5449
5,DUSTY LEE CORPORATION,ELDORADO,AMUSEMENT ARCADES,1424813,"1216 SURF AVENUE, BROOKLYN, NY 11224",1216,SURF AVENUE,BROOKLYN,NY,11224,Brooklyn,,(718) 946-6642
6,MILLION AMUSEMENT CORPORATION,DENO'S WONDER WHEEL PARK,AMUSEMENT ARCADES,1278346,"52-62 JONES WALK, BROOKLYN, NY 11224",52-62,JONES WALK,BROOKLYN,NY,11224,Brooklyn,3059 W. 12TH STREET,(718) 372-2592
7,KIDS PLAY LTD,,AMUSEMENT ARCADES,1031166,"1139 MCDONALD AVENUE, BROOKLYN, NY 11230",1139,MCDONALD AVENUE,BROOKLYN,NY,11230,Brooklyn,1ST FL.,(718) 377-1818
8,BROOKLYN SPORTS AND PARTY CENTER INC.,,AMUSEMENT ARCADES,1377292,"800 3 AVENUE, BROOKLYN, NY 11232",800,   3 AVENUE,BROOKLYN,NY,11232,Brooklyn,A/K/A 794 3 AVENUE,(718) 965-0004
9,MOTT ST.AMUSEMENT CO.INC.,CHINATOWN FAIR,AMUSEMENT ARCADES,734274,"8 MOTT ST, NEW YORK, NY 10013",8,MOTT ST,NEW YORK,NY,10013,Manhattan,BASEMENT,(212) 964-1542
10,"BIG BOWL, LLC",,AMUSEMENT ARCADES,1230705,"625 8 AVENUE, NEW YORK, NY 10018",625,   8 AVENUE,NEW YORK,NY,10018,Manhattan,PORT AUTHORITY/2ND FLOOR,(212) 268-6909
11,CEC ENTERTAINMENT INC,CHUCK E. CHEESE'S,AMUSEMENT ARCADES,1454462,"280 ST NICHOLAS AVENUE, NEW YORK, NY 10027",280,ST NICHOLAS AVENUE,NEW YORK,NY,10027,Manhattan,2ND FL,(212) 222-9772
12,"DAVE & BUSTERS OF NEW YORK, INC.",DAVE & BUSTER'S,AMUSEMENT ARCADES,1242304,"234 W 42ND ST, NEW YORK, NY 10036",234,W 42ND ST,NEW YORK,NY,10036,Manhattan,3 FL,(646) 495-2015
13,"SHOWPLACE ENTERTAINMENT CENTER, LLC",,AMUSEMENT ARCADES,1268146,"141 EAST SERVICE ROAD, STATEN ISLAND, NY 10314",141,EAST SERVICE ROAD,STATEN ISLAND,NY,10314,Other,,(718) 477-2695
14,A.N.T. VENDING INC,,AMUSEMENT ARCADES,982386,"35-25 STEINWAY STREET, ASTORIA QUEENS, NY 11101",35-25,STEINWAY STREET,ASTORIA QUEENS,NY,11101,Queens,1 FL,(718) 651-5143
