Borough,Age,2000,2005,2010,2015,2020,2025,2030
NYC Total,0-4,264243,256358,258052,262679,266571,268571,267374
NYC Total,5-9,274960,256411,248621,248413,253179,257864,260324
NYC Total,10-14,260234,281946,262976,253168,253138,258764,264096
NYC Total,15-19,255356,273516,295548,274456,264852,265621,271737
NYC Total,20-24,304478,301188,322981,346603,322481,313565,314819
NYC Total,25-29,353957,346775,341887,365730,393350,366398,357810
NYC Total,30-34,352243,346413,339507,332319,355797,384239,358683
NYC Total,35-39,338264,332008,326334,317425,311371,334805,362320
NYC Total,40-44,312403,333638,327179,318900,310581,306558,330229
NYC Total,45-49,281025,298534,318950,310384,302700,296684,293483
NYC Total,50-54,260949,282053,299592,317784,309460,304212,298709
NYC Total,55-59,203647,236687,255767,269629,286251,282094,277889
NYC Total,60-64,174411,189918,220951,236912,249802,269433,266167
NYC Total,65-69,147014,155590,169695,195859,210055,226445,244674
NYC Total,70-74,139707,121848,129032,139590,161238,178781,193026
NYC Total,75-79,120082,117357,102704,107843,116703,141366,156878
NYC Total,80-84,83993,83753,82055,71573,75131,88320,106802
NYC Total,85+,87108,86248,85947,84008,77827,89490,103995
NYC Total,Total,4214074,4300241,4387778,4453274,4520487,4633210,4729015
Bronx,0-4,53925,51223,52588,54606,55522,55274,54424
Bronx,5-9,58746,53629,50923,51335,53345,54413,54241
Bronx,10-14,52824,59720,54508,50825,51263,53431,54574
Bronx,15-19,49680,54313,61204,54998,51411,52003,54208
Bronx,20-24,52630,53501,58462,64751,58246,54637,55329
Bronx,25-29,54803,55590,56534,60884,67627,60876,57080
Bronx,30-34,57110,53832,54600,54502,58715,65445,59006
Bronx,35-39,57157,55288,52119,51876,51811,56051,62545
Bronx,40-44,50741,55555,53730,49702,49496,49691,53844
Bronx,45-49,43128,48016,52601,49891,46153,46251,46498
Bronx,50-54,38596,41336,46031,49480,46951,43764,43918
Bronx,55-59,31690,34872,37342,40741,43815,42060,39265
Bronx,60-64,26313,28486,31336,32871,35876,39223,37710
Bronx,65-69,22434,23342,25260,27210,28554,31879,34896
Bronx,70-74,20020,18184,18902,19964,21485,23319,26027
Bronx,75-79,16981,16448,14981,15222,16060,18110,19647
Bronx,80-84,12182,11769,11423,10219,10377,11837,13278
Bronx,85+,13519,13260,12942,12282,11442,12676,14155
Bronx,Total,712479,728364,745486,751359,758149,770940,780645
Brooklyn,0-4,89175,85338,85915,87134,87542,86911,85493
Brooklyn,5-9,92933,85908,82232,82229,83492,84093,83619
Brooklyn,10-14,89512,94848,87700,83403,83489,84965,85707
Brooklyn,15-19,86920,91567,97016,89187,84944,85239,86864
Brooklyn,20-24,94271,93536,98558,103778,95518,91215,91662
Brooklyn,25-29,103950,103044,102270,107159,112980,104194,99609
Brooklyn,30-34,101101,101369,100526,99104,103950,109927,101548
Brooklyn,35-39,100550,96917,97212,95749,94503,99484,105361
Brooklyn,40-44,95310,100046,96460,96122,94775,93950,99064
Brooklyn,45-49,87007,90287,94814,90785,90569,89799,89161
Brooklyn,50-54,79904,88731,92114,96121,92128,92516,91867
Brooklyn,55-59,59263,70823,78691,81094,84728,82091,82580
Brooklyn,60-64,53921,56455,67483,74459,76817,81461,79055
Brooklyn,65-69,44735,48361,50650,60085,66364,69982,74334
Brooklyn,70-74,43157,37289,40304,41867,49668,56657,59837
Brooklyn,75-79,36836,36539,31650,33911,35251,43775,49958
Brooklyn,80-84,25171,25610,25423,21910,23461,26504,32833
Brooklyn,85+,25164,25422,25785,25533,23605,27508,31479
Brooklyn,Total,1308880,1332090,1354803,1369630,1383784,1410271,1430031
Manhattan,0-4,37054,38866,39372,39180,38949,39566,40083
Manhattan,5-9,36194,34082,35816,35512,35354,35322,35969
Manhattan,10-14,34109,36613,34520,35575,35287,35288,35331
Manhattan,15-19,38168,41483,44129,41275,42363,42235,42312
Manhattan,20-24,65555,61888,67435,71072,66410,68371,68238
Manhattan,25-29,88116,83659,78402,85320,90571,84157,87112
Manhattan,30-34,81636,84630,80435,73809,80415,85870,79918
Manhattan,35-39,67282,73145,75948,70604,64827,71082,76079
Manhattan,40-44,59149,63911,69599,70778,65818,60846,66880
Manhattan,45-49,55420,56806,61486,65601,66743,62548,57940
Manhattan,50-54,53597,55920,57405,60933,65047,66777,62704
Manhattan,55-59,42869,50352,52621,52887,56169,60741,62502
Manhattan,60-64,34786,40924,48144,49272,49543,53545,58034
Manhattan,65-69,28857,32618,38421,44232,45287,46632,50507
Manhattan,70-74,26738,24372,27576,31695,36482,38710,39955
Manhattan,75-79,23113,23107,21120,23323,26781,32379,34425
Manhattan,80-84,16417,16701,16730,14918,16441,20524,24806
Manhattan,85+,18601,18337,18427,17844,16613,19794,24178
Manhattan,Total,807661,837414,867586,883830,899100,924387,946973
Queens,0-4,69635,66881,66024,67032,69156,70956,71568
Queens,5-9,71043,67540,64792,64701,65760,68082,70039
Queens,10-14,68060,73318,69626,67519,67491,68815,71421
Queens,15-19,66506,70475,75808,72798,70677,70884,72441
Queens,20-24,78680,77875,82463,89571,86079,83827,84252
Queens,25-29,92251,89841,88837,95011,103315,99600,97201
Queens,30-34,94940,90456,88000,88019,94225,102862,99422
Queens,35-39,94293,89005,84709,83402,83510,89824,98312
Queens,40-44,88343,94082,88708,85376,84143,84701,91339
Queens,45-49,78599,84434,89820,85687,82556,81895,82654
Queens,50-54,72613,78779,84542,90948,86849,84313,83846
Queens,55-59,57553,64788,70199,76279,82147,79378,77278
Queens,60-64,50391,52456,58971,64678,70352,77018,74627
Queens,65-69,43149,43023,44721,50908,55880,62240,68313
Queens,70-74,42128,34677,34531,36378,41415,47040,52514
Queens,75-79,36759,34383,28353,28617,30159,36025,40975
Queens,80-84,25533,24660,23085,19489,19691,22579,26917
Queens,85+,25335,24033,23055,22352,20263,22770,25841
Queens,Total,1155811,1160706,1166244,1188764,1213668,1252809,1288960
Staten Island,0-4,14454,14050,14153,14727,15402,15864,15806
Staten Island,5-9,16044,15252,14858,14636,15228,15954,16456
Staten Island,10-14,15729,17447,16622,15846,15608,16265,17063
Staten Island,15-19,14082,15678,17391,16198,15457,15260,15912
Staten Island,20-24,13342,14388,16063,17431,16228,15515,15338
Staten Island,25-29,14837,14641,15844,17356,18857,17571,16808
Staten Island,30-34,17456,16126,15946,16885,18492,20135,18789
Staten Island,35-39,18982,17653,16346,15794,16720,18364,20023
Staten Island,40-44,18860,20044,18682,16922,16349,17370,19102
Staten Island,45-49,16871,18991,20229,18420,16679,16191,17230
Staten Island,50-54,16239,17287,19500,20302,18485,16842,16374
Staten Island,55-59,12272,15852,16914,18628,19392,17824,16264
Staten Island,60-64,9000,11597,15017,15632,17214,18186,16741
Staten Island,65-69,7839,8246,10643,13424,13970,15712,16624
Staten Island,70-74,7664,7326,7719,9686,12188,13055,14693
Staten Island,75-79,6393,6880,6600,6770,8452,11077,11873
Staten Island,80-84,4690,5013,5394,5037,5161,6876,8968
Staten Island,85+,4489,5196,5738,5997,5904,6742,8342
Staten Island,Total,229243,241667,253659,259691,265786,274803,282406
