Borough or District,Data Type,Year,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,GED,SE1,Total
NYC,Historical,2008-09,54038,62563,68010,65958,64413,62364,61771,61560,63107,65508,87501,82089,59782,53846,9034,102954,1024498
NYC,Projected,2009-10,52879,62298,68827,65343,63239,62492,60713,59889,62162,62174,86676,78015,58095,55662,8477,107408,1014349
NYC,Projected,2010-11,54104,61435,68581,66183,62703,61371,60883,58857,60487,61247,82171,77355,55427,54060,8477,112215,1005556
NYC,Projected,2011-12,55619,62943,67592,65944,63556,60900,59824,58975,59472,59629,80839,73531,54964,51587,8477,116958,1000810
NYC,Projected,2012-13,55819,64751,69196,64983,63326,61758,59431,57956,59590,58668,78563,72337,52432,51156,8477,121753,1000196
NYC,Projected,2013-14,56016,64997,71119,66553,62404,61530,60298,57550,58559,58838,77042,70332,51587,48801,8477,126578,1000681
NYC,Projected,2014-15,56222,65237,71393,68440,63949,60635,60101,58443,58198,57824,77001,69114,50226,48004,8477,131451,1004715
NYC,Projected,2015-16,56357,65473,71660,68700,65823,62170,59225,58241,59101,57507,75781,69286,49456,46718,8477,136365,1010340
NYC,Projected,2016-17,56585,65648,71923,68954,66069,64019,60781,57376,58915,58443,75209,68076,49902,46007,8477,141325,1017709
NYC,Projected,2017-18,56809,65923,72117,69208,66313,64254,62636,58900,58030,58247,76191,67703,48868,46428,8477,146330,1026434
NYC,Projected,2018-19,57032,66194,72418,69395,66554,64492,62862,60625,59587,57375,76257,68752,48765,45446,8477,151372,1035603
Manhattan,Historical,2008-09,7101,8287,8649,8523,8423,8062,7911,7947,8233,8674,18384,16657,13295,11443,2202,14444,158235
Manhattan,Projected,2009-10,6819,8381,8679,8275,8032,8076,7604,7608,7947,8147,17169,16238,12596,12298,2151,15168,155188
Manhattan,Projected,2010-11,6864,8201,8768,8302,7806,7712,7620,7337,7616,7867,16109,15224,12302,11656,2151,15905,151440
Manhattan,Projected,2011-12,6939,8288,8575,8392,7840,7500,7287,7368,7331,7552,15530,14357,11586,11386,2151,16652,148734
Manhattan,Projected,2012-13,6947,8372,8661,8212,7930,7528,7104,7064,7366,7269,14814,13864,10983,10731,2151,17407,146403
Manhattan,Projected,2013-14,6955,8382,8739,8296,7758,7618,7134,6871,7063,7302,14221,13270,10645,10186,2151,18172,144763
Manhattan,Projected,2014-15,6970,8394,8750,8370,7843,7455,7222,6918,6875,7002,14264,12784,10228,9881,2151,18946,144053
Manhattan,Projected,2015-16,6938,8407,8762,8381,7918,7544,7067,7002,6922,6821,13607,12869,9900,9498,2151,19728,143515
Manhattan,Projected,2016-17,6917,8370,8775,8393,7927,7614,7154,6863,7004,6870,13224,12279,10009,9201,2151,20520,143271
Manhattan,Projected,2017-18,6894,8343,8737,8405,7939,7623,7224,6957,6863,6953,13275,12010,9578,9313,2151,21322,143587
Manhattan,Projected,2018-19,6869,8315,8709,8368,7951,7635,7233,7031,6956,6811,13444,12114,9427,8916,2151,22133,144063
Bronx,Historical,2008-09,10084,13245,14941,14573,13953,13496,13347,13215,13414,13920,17345,15889,10956,9597,2572,27137,217684
Bronx,Projected,2009-10,9915,13137,14934,14127,13669,13426,13066,12762,13418,13073,17387,14618,11073,9631,2357,27884,214477
Bronx,Projected,2010-11,10189,13062,14812,14132,13256,13153,13011,12496,12955,13075,16351,14652,10205,9740,2357,28952,212398
Bronx,Projected,2011-12,10415,13440,14725,14020,13265,12764,12756,12455,12684,12634,16315,13791,10231,8983,2357,29933,210768
Bronx,Projected,2012-13,10516,13709,15165,13937,13166,12778,12382,12217,12640,12373,15786,13742,9646,9006,2357,30942,210362
Bronx,Projected,2013-14,10614,13843,15457,14359,13084,12690,12395,11856,12389,12337,15456,13301,9589,8500,2357,31958,210185
Bronx,Projected,2014-15,10716,13976,15608,14644,13489,12607,12316,11865,12034,12097,15471,13020,9291,8434,2357,32995,210920
Bronx,Projected,2015-16,10757,14105,15757,14785,13760,13006,12234,11802,12041,11750,15156,13056,9092,8177,2357,34053,211888
Bronx,Projected,2016-17,10829,14162,15903,14925,13892,13271,12628,11723,11981,11763,14734,12781,9150,8000,2357,35130,213229
Bronx,Projected,2017-18,10900,14261,15966,15066,14024,13395,12888,12108,11899,11705,14777,12431,8947,8069,2357,36224,215017
Bronx,Projected,2018-19,10972,14354,16078,15125,14157,13524,13007,12359,12290,11622,14741,12469,8709,7886,2357,37331,216981
Brooklyn,Historical,2008-09,18526,18524,21036,20386,19726,19500,19196,19249,19826,20661,25272,24990,15842,15790,2371,30630,311525
Brooklyn,Projected,2009-10,18369,18661,21116,19992,19458,19054,18794,18561,19454,19361,25332,23452,15348,16022,2181,31729,306884
Brooklyn,Projected,2010-11,18829,18406,21272,20092,19088,18804,18371,18166,18754,18993,23732,23517,14446,15512,2181,32842,303005
Brooklyn,Projected,2011-12,19443,18947,20932,20242,19195,18460,18146,17668,18375,18314,23309,22109,14485,14603,2181,33965,300374
Brooklyn,Projected,2012-13,19504,19628,21496,19928,19341,18573,17827,17434,17880,17966,22462,21726,13655,14640,2181,35100,299341
Brooklyn,Projected,2013-14,19565,19691,22226,20476,19056,18714,17940,17125,17638,17503,22055,20935,13428,13794,2181,36245,298572
Brooklyn,Projected,2014-15,19624,19756,22297,21196,19593,18448,18101,17268,17327,17270,21489,20603,12935,13566,2181,37405,299059
Brooklyn,Projected,2015-16,19641,19813,22372,21262,20319,18970,17856,17397,17483,16979,21190,20127,12745,13066,2181,38575,299976
Brooklyn,Projected,2016-17,19690,19833,22437,21333,20382,19697,18388,17128,17604,17144,20812,19865,12476,12869,2181,39757,301596
Brooklyn,Projected,2017-18,19738,19880,22463,21396,20452,19758,19119,17643,17342,17261,20965,19531,12318,12593,2181,40954,303594
Brooklyn,Projected,2018-19,19784,19930,22512,21421,20511,19826,19176,18238,17864,17019,21138,19719,12115,12431,2181,42163,306028
Queens,Historical,2008-09,14985,18294,19179,18499,18395,17442,17521,17454,17779,18379,21893,20214,15929,13738,1486,23752,274939
Queens,Projected,2009-10,14580,18001,19734,18790,18158,18101,17369,17333,17586,17755,22256,19288,15498,14371,1432,25196,275448
Queens,Projected,2010-11,14893,17815,19455,19343,18452,17863,18029,17154,17471,17570,21457,19626,14824,13975,1432,26644,276003
Queens,Projected,2011-12,15476,18141,19257,19063,19004,18160,17777,17804,17312,17452,21266,18952,15098,13376,1432,28094,277664
Queens,Projected,2012-13,15481,18888,19588,18848,18717,18719,18080,17552,17955,17304,21112,18779,14609,13623,1432,29546,280233
Queens,Projected,2013-14,15488,18897,20379,19182,18500,18425,18647,17837,17707,17959,20833,18641,14460,13188,1432,30999,282574
Queens,Projected,2014-15,15496,18899,20390,19958,18837,18206,18352,18394,18024,17705,21318,18437,14360,13054,1432,32453,285315
Queens,Projected,2015-16,15576,18907,20392,19970,19607,18551,18121,18107,18582,18029,21308,18978,14241,12963,1432,33908,288672
Queens,Projected,2016-17,15673,19007,20401,19972,19619,19308,18480,17882,18310,18604,21733,18850,14791,12864,1432,35366,292292
Queens,Projected,2017-18,15768,19124,20508,19981,19621,19320,19244,18234,18064,18321,22307,19241,14534,13377,1432,36825,295901
Queens,Projected,2018-19,15866,19240,20635,20085,19629,19322,19256,19011,18430,18069,22084,19816,14848,13131,1432,38286,299140
Staten Island,Historical,2008-09,3342,4213,4205,3977,3916,3864,3796,3695,3855,3874,4607,4339,3760,3278,403,6991,62115
Staten Island,Projected,2009-10,3196,4118,4364,4159,3922,3835,3880,3625,3757,3838,4532,4419,3580,3340,356,7431,62352
Staten Island,Projected,2010-11,3329,3951,4274,4314,4101,3839,3852,3704,3691,3742,4522,4336,3650,3177,356,7872,62710
Staten Island,Projected,2011-12,3346,4127,4103,4227,4252,4016,3858,3680,3770,3677,4419,4322,3564,3239,356,8314,63270
Staten Island,Projected,2012-13,3371,4154,4286,4058,4172,4160,4038,3689,3749,3756,4389,4226,3539,3156,356,8758,63857
Staten Island,Projected,2013-14,3394,4184,4318,4240,4006,4083,4182,3861,3762,3737,4477,4185,3465,3133,356,9204,64587
Staten Island,Projected,2014-15,3416,4212,4348,4272,4187,3919,4110,3998,3938,3750,4459,4270,3412,3069,356,9652,65368
Staten Island,Projected,2015-16,3445,4241,4377,4302,4219,4099,3947,3933,4073,3928,4520,4256,3478,3014,356,10101,66289
Staten Island,Projected,2016-17,3476,4276,4407,4331,4249,4129,4131,3780,4016,4062,4706,4301,3476,3073,356,10552,67321
Staten Island,Projected,2017-18,3509,4315,4443,4360,4277,4158,4161,3958,3862,4007,4867,4490,3491,3076,356,11005,68335
Staten Island,Projected,2018-19,3541,4355,4484,4396,4306,4185,4190,3986,4047,3854,4850,4634,3666,3082,356,11459,69391
1,Historical,2008-09,1163,856,870,879,829,793,736,807,743,781,n/a,n/a,n/a,n/a,n/a,1029,9486
1,Projected,2009-10,1084,836,912,834,854,812,753,754,811,748,n/a,n/a,n/a,n/a,n/a,1127,9525
1,Projected,2010-11,1129,815,893,875,813,838,773,772,758,816,n/a,n/a,n/a,n/a,n/a,1225,9707
1,Projected,2011-12,1193,863,869,856,854,797,801,804,775,763,n/a,n/a,n/a,n/a,n/a,1323,9898
1,Projected,2012-13,1194,893,919,835,836,835,761,841,808,779,n/a,n/a,n/a,n/a,n/a,1421,10122
1,Projected,2013-14,1195,894,954,882,816,816,798,798,845,811,n/a,n/a,n/a,n/a,n/a,1519,10328
1,Projected,2014-15,1197,895,955,916,861,798,778,844,802,848,n/a,n/a,n/a,n/a,n/a,1617,10511
1,Projected,2015-16,1193,897,956,917,896,843,761,817,850,804,n/a,n/a,n/a,n/a,n/a,1715,10649
1,Projected,2016-17,1189,893,958,918,897,875,804,802,823,851,n/a,n/a,n/a,n/a,n/a,1813,10823
1,Projected,2017-18,1186,890,954,920,898,876,834,846,807,825,n/a,n/a,n/a,n/a,n/a,1911,10947
1,Projected,2018-19,1182,889,951,916,900,877,835,881,851,808,n/a,n/a,n/a,n/a,n/a,2009,11099
2,Historical,2008-09,1345,2489,2410,2228,2263,2149,2104,1958,2039,2172,n/a,n/a,n/a,n/a,n/a,1909,23066
2,Projected,2009-10,1393,2590,2453,2321,2133,2218,2091,2006,1953,2083,n/a,n/a,n/a,n/a,n/a,2084,23325
2,Projected,2010-11,1411,2590,2554,2363,2222,2088,2158,1989,2002,1994,n/a,n/a,n/a,n/a,n/a,2259,23630
2,Projected,2011-12,1442,2637,2554,2461,2263,2174,2030,2050,1986,2043,n/a,n/a,n/a,n/a,n/a,2434,24074
2,Projected,2012-13,1444,2719,2600,2461,2357,2214,2115,1930,2047,2026,n/a,n/a,n/a,n/a,n/a,2609,24522
2,Projected,2013-14,1445,2724,2677,2506,2357,2306,2152,2006,1927,2088,n/a,n/a,n/a,n/a,n/a,2784,24972
2,Projected,2014-15,1448,2729,2682,2581,2399,2305,2241,2029,2003,1965,n/a,n/a,n/a,n/a,n/a,2959,25341
2,Projected,2015-16,1442,2732,2687,2586,2472,2349,2241,2113,2028,2042,n/a,n/a,n/a,n/a,n/a,3134,25826
2,Projected,2016-17,1438,2719,2690,2591,2476,2417,2284,2116,2113,2067,n/a,n/a,n/a,n/a,n/a,3309,26220
2,Projected,2017-18,1432,2710,2677,2594,2481,2421,2351,2154,2115,2154,n/a,n/a,n/a,n/a,n/a,3484,26573
2,Projected,2018-19,1427,2701,2668,2581,2484,2426,2355,2211,2154,2156,n/a,n/a,n/a,n/a,n/a,3659,26822
3,Historical,2008-09,1101,1293,1382,1380,1320,1319,1238,1201,1212,1254,n/a,n/a,n/a,n/a,n/a,1098,13798
3,Projected,2009-10,1099,1378,1327,1326,1321,1273,1258,1162,1160,1202,n/a,n/a,n/a,n/a,n/a,1204,13710
3,Projected,2010-11,1106,1332,1415,1271,1270,1274,1214,1183,1121,1151,n/a,n/a,n/a,n/a,n/a,1310,13647
