Year of birth,GENDER,ETHNICITY,CHILD FIRST NAME,COUNT,RANK
2009,FEMALE,HISPANIC,ISABELLA,284,1
2009,FEMALE,HISPANIC,MIA,245,2
2009,FEMALE,HISPANIC,ASHLEY,236,3
2009,FEMALE,HISPANIC,EMILY,168,4
2009,FEMALE,HISPANIC,SOPHIA,156,5
2009,FEMALE,HISPANIC,BRIANNA,149,6
2009,FEMALE,HISPANIC,MELANIE,132,7
2009,FEMALE,HISPANIC,SAMANTHA,126,8
2009,FEMALE,HISPANIC,GENESIS,121,9
2009,FEMALE,HISPANIC,KAYLA,116,10
2009,FEMALE,HISPANIC,KIMBERLY,110,11
2009,FEMALE,HISPANIC,HAILEY,105,12
2009,FEMALE,HISPANIC,CAMILA,104,13
2009,FEMALE,HISPANIC,MADISON,104,13
2009,FEMALE,HISPANIC,ARIANNA,100,14
2009,FEMALE,HISPANIC,ALLISON,97,15
2009,FEMALE,HISPANIC,ANGELINA,96,16
2009,FEMALE,HISPANIC,GABRIELLA,93,17
2009,FEMALE,HISPANIC,MICHELLE,93,17
2009,FEMALE,HISPANIC,VALENTINA,93,17
2009,FEMALE,HISPANIC,ARIANA,87,18
2009,FEMALE,HISPANIC,KAYLEE,84,19
2009,FEMALE,HISPANIC,ADRIANA,82,20
2009,FEMALE,HISPANIC,DESTINY,80,21
2009,FEMALE,HISPANIC,AMY,79,22
2009,FEMALE,HISPANIC,EMMA,79,22
2009,FEMALE,HISPANIC,MARIA,79,22
2009,FEMALE,HISPANIC,SOFIA,79,22
2009,FEMALE,HISPANIC,ABIGAIL,78,23
2009,FEMALE,HISPANIC,GABRIELA,78,23
2009,FEMALE,HISPANIC,STEPHANIE,78,23
2009,FEMALE,HISPANIC,NICOLE,76,24
2009,FEMALE,HISPANIC,JENNIFER,75,25
2009,FEMALE,HISPANIC,DIANA,74,26
2009,FEMALE,HISPANIC,ELIZABETH,74,26
2009,FEMALE,HISPANIC,SARAH,72,27
2009,FEMALE,HISPANIC,LEAH,69,28
2009,FEMALE,HISPANIC,NATALIE,69,28
2009,FEMALE,HISPANIC,ALYSSA,68,29
2009,FEMALE,HISPANIC,ALEXA,66,30
2009,FEMALE,HISPANIC,VICTORIA,66,30
2009,FEMALE,HISPANIC,EMELY,65,31
2009,FEMALE,HISPANIC,EVELYN,65,31
