Application #,Organization,Total Final Award
FY12-AN-009139,"3 Graces Theater Co., Inc.","5,325"
FY12-RN-009814,3 Legged Dog,"15,975"
FY12-RN-009843,"52nd Street Project, Inc.","60,750"
FY12-MY-006965,"7 Loaves, Inc.","18,975"
FY12-RN-009783,"Aaron Davis Hall, Inc.","145,625"
FY12-MY-007865,ABC No Rio,"5,325"
FY12-MY-006656,Abingdon Theatre Company,"20,975"
FY12-MY-008120,Academy of American Poets,"15,975"
FY12-MY-007322,Actors Company Theatre,"15,975"
FY12-RN-009866,Actors' Fund of America,"15,975"
FY12-AN-007796,African Diaspora Film Festival,"5,325"
FY12-AN-008757,"African Film Festival, Inc.","7,990"
FY12-AN-006677,"African Voices Communications, Inc.","8,825"
FY12-RN-009862,"Afrikan Poetry Theatre, Inc.","57,982"
FY12-AN-009438,Afro Brazil Arts,"5,325"
FY12-AN-007517,"AHL Foundation, Inc.","5,325"
FY12-AN-007899,"Alianza Dominicana, Inc.","5,325"
FY12-AN-007875,"All Out Arts, Inc.","11,825"
FY12-MY-006570,"Alley Pond Environmental Center, Inc.","88,250"
FY12-RN-009863,"Alliance for Young Artists and Writers, Inc.","15,975"
FY12-MY-006376,"Alliance of Resident Theatres / New York, Inc.","209,375"
FY12-AN-007396,"Alpha Omega 1-7 Theatrical Dance Company, Inc.","10,650"
FY12-RN-009708,"Alpha Workshops, Inc.","30,125"
FY12-RN-009660,"Alvin Ailey Dance Foundation, Inc.","139,625"
FY12-AN-008841,Alwan Foundation,"5,325"
FY12-RN-009829,"Amas Musical Theatre, Inc.","37,275"
FY12-RN-009864,American Composers Orchestra,"53,250"
FY12-RN-009738,American Documentary,"26,625"
FY12-RN-009753,American Folk Art Museum,"219,000"
FY12-AN-008359,American Friends of the Ludwig Foundation of Cuba,"10,650"
FY12-AN-006397,"American Globe Theatre, Ltd.","21,300"
FY12-AN-007056,"American Indian Artists, Inc.","13,315"
FY12-MY-007197,American Institute of Graphic Arts,"15,975"
FY12-AN-008280,"American Lyric Theater Center, Inc.","13,315"
FY12-AN-007667,American Modern Ensemble Inc.,"5,325"
FY12-MY-006978,"American Place Theatre, Inc.","3,000"
FY12-MY-006544,American Symphony Orchestra League,"15,975"
FY12-MY-007280,"American Symphony Orchestra, Inc.","37,275"
FY12-RN-009722,"American Tap Dance Foundation, Inc.","26,625"
FY12-MY-009106,"American Turkish Society, Inc.","10,650"
FY12-MY-007860,"Americas Society, Inc.","26,625"
FY12-RN-009857,"An Claidheamh Soluis, Inc.","36,625"
FY12-AN-007856,"Annabella Gonzalez Dance Theater, Inc.","5,325"
FY12-RN-009637,"Anne Frank Center USA, Inc.","19,975"
FY12-AN-008516,"Ansonia Music Outreach Organization, Inc.","5,325"
FY12-RN-009583,"Anthology Film Archives, Inc.","26,625"
FY12-MY-006561,"Aperture Foundation, Inc.","15,975"
FY12-MY-007980,ApexArt Curatorial Program,"15,975"
FY12-RN-009821,"Apollo Theater Foundation, Inc.","25,975"
FY12-MY-008483,"Aquila Theatre Company, Inc.","15,975"
FY12-AN-007497,"Archipelago Books, Inc.","5,325"
FY12-RN-009689,Architectural League of New York,"26,625"
FY12-AN-007869,Argento New Music Project,"7,990"
FY12-RN-009788,Armitage Foundation Ltd.,"15,975"
FY12-RN-009686,"Ars Nova Theater I, Inc","26,625"
FY12-AN-008197,Art Connects New York,"5,325"
FY12-RN-009724,Art Education for the Blind,"15,975"
FY12-AN-008741,"Art for Change, Inc.","5,325"
FY12-RN-009775,"Art in General, Inc.","15,975"
FY12-MY-007278,"Art Lab, Inc.","42,275"
FY12-AN-008879,Art Loisaida Foundation,"3,500"
FY12-AN-008842,"Art of the Early Keyboard, Inc.","5,325"
FY12-RN-009737,Art Students League of New York,"15,975"
FY12-MY-007780,"Art Sweats, Inc.","15,975"
FY12-RN-009702,"Art21, Inc.","53,250"
FY12-RN-009593,"ArteEast, Inc.","15,975"
FY12-RN-009848,"Arthur Aviles Typical Theatre, Inc.","47,275"
FY12-AN-006660,"Artists Alliance, Inc.","10,650"
FY12-AN-008746,"Artists in Residence, Inc.","7,990"
FY12-RN-009807,Artists Space,"15,975"
FY12-MY-006501,"Arts & Business Council, Inc.","35,125"
FY12-RN-009659,"Arts Connection, Inc.","266,250"
FY12-MY-006636,"Arts Engine, Inc.","15,975"
FY12-MY-006458,"Arts for Art, Inc.","15,975"
FY12-AN-007204,"Art's House Schools, Inc.","9,325"
FY12-AN-006405,"Arts Resources in Collaboration, Inc.","5,325"
FY12-MY-006407,"Ascension Music Chorus and Orchestra, Inc.","26,625"
FY12-AN-008956,"ASDT, Inc. - The American Spanish Dance Theatre","10,650"
FY12-RN-009706,Asia Society,"26,625"
FY12-MY-008036,Asian American Arts Alliance,"37,275"
FY12-AN-008718,"Asian CineVision, Inc.","7,990"
FY12-AN-009084,"Astoria Music Society, Inc.","19,475"
