Bronx,2005,2006,2007,2008,2009,Total
40th Precinct,176,208,161,166,183,894
41st Precinct,68,58,85,82,118,411
42nd Precinct,67,95,106,127,154,549
43rd Precinct,199,194,199,180,149,921
44th Precinct,203,255,244,236,226,1164
45th Precinct,71,51,72,75,83,352
46th Precinct,162,169,199,209,238,977
47th Precinct,141,140,197,226,235,939
48th Precinct,76,94,153,145,130,598
49th Precinct,82,62,73,69,72,358
50th Precinct,49,57,48,54,56,264
52nd Precinct,126,187,185,203,196,897
Bronx Total,1420,1570,1722,1772,1840,8324
