Location,Phone Number,Districts Served
"1 Fordham Plaza, 7th floor",718-935-2178  ,"7, 9, 10 "
1230 Zerega Avenue,718-935-2278  ,"8, 11, 12 "
"1790 Ocean Avenue, 3rd floor",718-935-2313   ,"17, 18, 22"
415 89th street,718-935-2331  ,"20, 21 "
1665 St. Mark's Avenue,718-935-2340  ,"19, 23, 32 "
29 Fort Greene Place,718-935-2371 ,"13,14,15,16, General Education Only"
131 Livingston Street,718-935-4908 ,"13,14,15,16, Special Education Only"
333 Seventh Avenue,718-935-2383   ,"1, 2, 4  "
388 West 125th street,718-935-2385   ,"3, 5, 6  "
28-11 Queens Plaza North,718-935-2386     ,"24, 30"
30-48 Linden Place,718-935-2391   ,"25, 26  "
90-27 Sutphin Boulevard,718-935-2393     ,"27, 28, 29"
"715 Ocean Terrace, Building A",718-935-2402   ,31
