Education Level,2005 Number of Officers,2005 Percent of Subtotal,2005 NYPD Population 2005,2006 Number of Officers,2006 Percent of Subtotal,2006 NYPD Population 2006,2007 Number of Officers,2007 Percent of Subtotal,2007 NYPD Population 2007,2008 Number of Officers,2008 Percent of Subtotal,2008 NYPD Population 2008,2009 Number of Officers,2009 Percent of Subtotal,2009 NYPD Population 2009
HS diploma/GED,63,17.1%,19.7%,50,14.4%,18.3%,46,15.4%,17.3%,27,12.3%,16.1%,27,9.8%,15.8%
College - no degree,175,47.4%,42.2%,161,46.4%,43.3%,114,38.1%,43.5%,101,46.1%,43.8%,117,42.5%,43.6%
Associate degree,41,11.1%,13.3%,42,12.1%,13.4%,52,17.4%,13.7%,38,17.4%,13.9%,48,17.5%,14%
Undergraduate degree,83,22.5%,22.5%,87,25.1%,22.8%,79,26.4%,23.3%,51,23.3%,23.9%,76,27.6%,24.3%
Post-graduate work,3,0.8%,0.5%,1,0.3%,0.5%,3,1%,0.4%,2,0.9%,0.4%,2,0.7%,0.4%
Master's degree,4,1.1%,1.4%,6,1.7%,1.3%,5,1.7%,1.4%,0,0%,1.5%,5,1.8%,1.5%
Doctorate work,0,0%,0.1%,0,0%,0.1%,0,0%,0.1%,0,0%,0.1%,0,0%,0.1%
Doctorate degree/JD,0,0%,0.3%,0,0%,0.3%,0,0%,0.3%,0,0%,0.3%,0,0%,0.3%
Subtotal,369,100%,100%,347,100%,100%,299,100%,100%,219,100%,100%,275,100%,100%
Unknown,2,,,0,,,1,,,0,,,1,,
Total,371,,,347,,,300,,,219,,,276,,
