PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Family Support,Adult Health Awareness & Prevention,"Kings Bay YM-YWHA, Inc.",Brooklyn,"Kings Bay YM-YWHA, Inc.",718.648.7703,,"3495 Nostrand Avenue
Brooklyn, NEW YORK 11229
(40.59874864679032, -73.94153906955313)"
Family Support,Adult Health Awareness & Prevention,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
Family Support,Domestic Violence Program,Fannie Lou Hammer High School,Bronx,The Children’s Aid Society,212.503.6837,MS/HS,"1021 Jennings Street
Bronx, NEW YORK 10464
(40.83092140206968, -73.88633338378911)"
Family Support,Domestic Violence Program,"Aging in America, Inc. ",Bronx,"Aging In America Community Services, Inc.",718.409.7961,,"1500 Pelham Parkway
Bronx, NEW YORK 10461
(40.85710649548991, -73.84367515955307)"
Family Support,Domestic Violence Program,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718.331.6800,,"7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326705934, -73.98919274272059)"
Family Support,Domestic Violence Program,I.S. 281,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,718.236.5266,MS/HS,"87 87 24th Avenue
Brooklyn, NEW YORK 11214
(40.604011809897145, -74.0009690001192)"
Family Support,Domestic Violence Program,Hispanic Employment Day-Women Working For A Better Community,Brooklyn,Hispanic Employment Day-Women Working For A Better Community,718.455.3988,,"195 Linden Street
Brooklyn, NEW YORK 11221
(40.695365122529765, -73.91752465717728)"
Family Support,Economic Development,Northfield Community LDC,Staten Island,Northfield Community LDC,718.442.7351,,"160 Heberton Avenue
Staten Island, NEW YORK 10302
(40.63612065850752, -74.13187837894384)"
Family Support,Economic Development,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.585.2600,,"555 Bergen Avenue
Bronx, NEW YORK 10455
(40.81594441525443, -73.91641591148277)"
Family Support,Economic Development,NDA Center,Bronx,South Bronx Overall Economic Dev Corp.,718.585.2600,,"647 180 Street
Bronx, NEW YORK 10457
(40.84884460637466, -73.89021748084417)"
Family Support,Economic Development,Local Development Corporation of East New York,Brooklyn,Local Development Corporation of East New York,718.385.6700,,"80 Jamaica Avenue
Brooklyn, NEW YORK 11207
(40.678429517632956, -73.89681149606571)"
Family Support,Economic Development,Cypress Hills Local Development Corporation,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,,"3214 Fulton Street
Brooklyn, NEW YORK 11208
(40.68241352010474, -73.87644758308613)"
Family Support,Fatherhood Initiative,Fortune Society,Queens,"The Fortune Society, Inc.",347.510.3619,16 to 24,"29 76 Northern Blvd
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
Family Support,Fatherhood Initiative,The Fathers Center ,New York ,Legal Information for Families Today (LIFT),646.613.9633 ext. 202,16 to 24,"350 Broadway
New York, NEW YORK 10013
(40.71696029234187, -74.00392122955571)"
