Month,Year,Staten Island Ferry,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Hudson River Greenway at 50th St.,Grand Total
May,2007,341,1574,1280,1644,1100,2404,8343
August,2007,266,1689,1522,2284,1244,2392,9397
September,2007,149,1616,1137,2842,1533,2963,10240
April,2008,153,1325,2058,2855,1538,2795,10724
May,2008,194,1776,2960,2840,2116,1880,11766
June,2008,132,1638,2557,2931,1704,3276,12238
July,2008,212,1594,1955,2884,2194,3666,12505
August,2008,318,1642,2073,3021,2116,4185,13355
September,2008,269,1991,2302,3081,2092,4040,13775
October,2008,203,1512,1497,2416,1940,3599,11167
April,2009,185,1585,1828,3202,1660,2309,10769
May,2009,209,2601,2371,3420,1751,3840,14192
June,2009,161,2504,2245,3802,2396,4426,15534
July,2009,339,2943,2624,4200,2963,4329,17398
August,2009,345,2505,3821,3941,2641,4970,18223
September,2009,272,1930,2778,4038,2016,4419,15453
October,2009,268,2479,2962,3911,2172,4354,16146
April,2010,356,2062,2404,3909,2235,4452,15418
May,2010,403,2466,3453,4076,2574,6190,19162
June,2010,237,1376,2407,3845,2590,5230,15685
July,2010,427,2104,2646,3891,2020,4213,15301
August,2010,492,2306,2990,4866,3035,5055,18744
September,2010,403,1938,3402,4408,3355,5125,18631
October,2010,427,1853,3467,4226,2586,4294,16853
April,2011,436,2630,2714,4612,2443,5161,17996
May,2011,295,2463,4207,4215,2528,5262,18970
June,2011,418,2145,3954,4709,2467,5561,19254
July,2011,445,2104,3648,4614,2624,4876,18311
August,2011,381,2755,3696,5007,3558,6032,21429
September,2011,308,2217,3326,4402,3311,4300,17864
October,2011,296,1830,3425,4614,3182,3578,16925
