CODE,RCNY,Section/Subdivision - DESCRIPTION, PENALTY, DEFAULT
 W01,AC 24-337,WASTING OR NOT CONSERVING WATER FOR COMMERCIAL OR INDUSTRIAL USE; STAGE I,400,1000
 W02,AC 24-337,ILLEGAL WASTE OF WATER DURING DROUGHT; (RESIDENTIAL);  STAGE I,250,1000
 W03,21-03 (a),"ALLOWING LEAK OR WASTE OF WATER FROM FAUCETS, W.C.'S, ETC.;  STAGE I",250,1000
 W04,21-03 (b), USING PUBLIC WATER TO WASH VEHICLES; STAGE I,250,1000
 W05,21-03 (c),"USING WATER TO SPRAY OR WASH SIDEWALK, STREET;  STAGE I",250,1000
 W06,21-03 (d),USING ANY WATER FOR ORNAMENTAL PURPOSES; STAGE I,250,1000
 W07,21-03 (e),"USING WATER FOR LAWNS, GOLF COURSE, PLANTS, TREES;  STAGE I",250,1000
 W08,21-03 (e) (3),FAILURE TO POST PROPER IRRIGATION SYSTEM SIGN; STAGE I,100,1000
 W09,21-03 (f),ILLEGAL USE OF FIRE HYDRANTS; STAGE I,750,1000
 W10, 21-03 (g),SERVING WATER WITHOUT REQUEST; STAGE I,250,1000
 W11,21-03 (h),A/C OR REFRIG. UNIT WITHOUT APPROVED WATER CONSERV. DEVICE; STAGE I,300,1000
 W12,21-03 (h),DUMPING COOLING TOWER  WATER; STAGE I,750,1000
 W13, 21-03 (i),USE OF PUBLIC WATER FOR POOLS; STAGE I,250,1000
 W14,21-03 (j),USE OF NONCOMPLYING SHOWERHEAD(S); STAGE I,250,1000
 W15,21-04,FAILURE TO REDUCE WATER BY 15% FOR NON-RESIDENTIAL USE; STAGE I,300,1000
 W16,21-05,"FAILURE TO POST ""SAVE WATER"" SIGNS; STAGE I",100,1000
 W17,AC 24-337,WASTING OR NOT CONSERVING WATER FOR COMMERCIAL OR INDUSTRIAL USE; STAGE II,500,1000
 W18,AC 24-337,ILLEGAL WASTE OF WATER DURING DROUGHT; (RES);  STAGE II,350,1000
 W19,21-23 (a),"ALLOWING LEAK OR WASTE OF WATER FROM FAUCETS, W.C.'S, ETC.;  STAGE II",350,1000
 W20,21-23 (b),USING PUBLIC WATER TO WASH VEHICLES; STAGE II,350,1000
 W21,21-23 (c),"USING WATER TO SPRAY OR WASH SIDEWALK, STREET, BUILDING;   STAGE II",350,1000
 W22,21-23 (d),USING ANY WATER FOR ORNAMENTAL PURPOSES;  STAGE II,350,1000
 W23,21-23 (e),"USING WATER FOR LAWNS, GOLF COURSE, PLANTS, TREES;  STAGE II",350,1000
 W24,21-23 (e) (1),FAILURE TO POST PROPER IRRIGATION SYSTEM SIGN; STAGE II,200,1000
 W25,21-23 (f),ILLEGAL USE OF FIRE HYDRANTS;  STAGE II,750,1000
