Boro,Age,2000,2005,2010,2015,2020,2025,2030
NYC Total,0-4,276635,267546,269302,274131,278202,280468,279227
NYC Total,5-9,286155,268945,260072,259590,264511,269319,272015
NYC Total,10-14,270582,291943,274556,263364,263025,268689,274083
NYC Total,15-19,265285,282669,304355,284648,273698,274156,280238
NYC Total,20-24,285353,292173,311197,332308,311965,302308,303206
NYC Total,25-29,326702,332746,339766,360595,385792,363432,353942
NYC Total,30-34,335119,325884,331890,336326,357129,383479,362189
NYC Total,35-39,322637,316624,308072,311357,315841,336837,362332
NYC Total,40-44,289976,314723,308674,298016,301641,307988,328994
NYC Total,45-49,250093,270767,294127,286114,276389,282014,288621
NYC Total,50-54,220318,243664,264035,284737,276957,270396,276570
NYC Total,55-59,165458,193136,213757,229953,248218,245166,239867
NYC Total,60-64,139938,147513,172416,189299,203713,224758,222512
NYC Total,65-69,112153,116711,123262,142844,156889,174295,192686
NYC Total,70-74,95920,86546,90178,94423,109421,125920,140086
NYC Total,75-79,73139,73403,66419,68565,71839,89148,102721
NYC Total,80-84,44146,46070,46382,41610,42985,50552,62812
NYC Total,85+,34595,34832,35976,36082,33862,40920,48695
NYC Total,Total,3794204,3905894,4014435,4093962,4172077,4289845,4390796
Bronx,0-4,55807,53101,54515,56608,57558,57335,56454
Bronx,5-9,61021,55681,52992,53050,55097,56158,55980
Bronx,10-14,54992,61821,56445,52390,52447,54587,55678
Bronx,15-19,51528,56594,63289,56623,52765,52955,55035
Bronx,20-24,47722,50965,55918,60916,54597,51115,51330
Bronx,25-29,46600,48686,52145,56086,61256,54884,51303
Bronx,30-34,49945,45401,47438,49524,53230,58278,52301
Bronx,35-39,49344,47822,43511,44325,46261,49899,54645
Bronx,40-44,43079,47530,46067,40830,41603,43657,47168
Bronx,45-49,35911,39891,44098,41612,36818,37790,39714
Bronx,50-54,31075,33677,37473,40387,38089,33986,34920
Bronx,55-59,24275,26996,29287,31684,34158,32683,29170
Bronx,60-64,20060,20964,23322,24574,26578,29285,28046
Bronx,65-69,15638,16312,17053,18388,19369,21626,23840
Bronx,70-74,12731,11890,12396,12530,13485,14867,16579
Bronx,75-79,9646,9549,8936,9015,9109,10467,11533
Bronx,80-84,5827,5972,5918,5343,5388,6082,6975
Bronx,85+,4970,4870,4905,4660,4320,5026,5723
Bronx,Total,620171,637722,655708,658545,662128,670680,676394
Brooklyn,0-4,93424,88981,89584,90855,91281,90677,89198
Brooklyn,5-9,96744,90328,86053,85949,87258,87852,87373
Brooklyn,10-14,93354,97967,91501,86506,86482,87966,88665
Brooklyn,15-19,90361,95366,100055,92824,87904,88081,89672
Brooklyn,20-24,88946,91477,96529,100469,93360,88738,89013
Brooklyn,25-29,93477,97110,99937,104787,109199,101673,96685
Brooklyn,30-34,91186,90848,94408,96391,101158,105716,98556
Brooklyn,35-39,89121,85860,85576,88196,90129,94925,99304
Brooklyn,40-44,83619,88775,85551,84621,87298,89623,94508
Brooklyn,45-49,74239,77816,82665,79003,78219,81257,83530
Brooklyn,50-54,66050,73849,77452,81672,78113,78030,81166
Brooklyn,55-59,46737,56709,63455,65969,69651,67586,67602
Brooklyn,60-64,41593,42487,51563,57206,59532,64160,62336
Brooklyn,65-69,33104,34960,35726,42956,47706,51212,55264
Brooklyn,70-74,28669,25480,26914,27230,32755,38105,40956
Brooklyn,75-79,22200,22402,19945,20851,21118,27127,31568
Brooklyn,80-84,13279,13995,14129,12448,13025,14802,19011
Brooklyn,85+,10343,10552,10991,11030,10239,12453,14529
Brooklyn,Total,1156446,1184962,1212033,1228963,1244427,1269983,1288936
Manhattan,0-4,38994,40584,41112,40912,40670,41339,41878
Manhattan,5-9,37164,35883,37446,37194,36990,36924,37618
Manhattan,10-14,35179,37573,36352,37260,36988,36921,36929
Manhattan,15-19,37018,39995,42526,40612,41505,41384,41390
Manhattan,20-24,55119,53880,58197,61104,58389,59834,59737
Manhattan,25-29,79447,77340,75501,81343,85824,81861,84215
Manhattan,30-34,81953,81374,79373,76131,82003,86929,83059
Manhattan,35-39,71510,76531,76169,72885,69887,75676,80364
Manhattan,40-44,59285,66836,71685,69989,66939,64629,70118
Manhattan,45-49,51450,55035,62203,65450,63862,61613,59608
Manhattan,50-54,45274,49116,52690,58511,61553,60724,58688
Manhattan,55-59,35190,40537,44106,46394,51515,55086,54459
Manhattan,60-64,28901,31958,36928,39404,41431,47079,50463
Manhattan,65-69,23501,25015,27741,31407,33497,36388,41457
Manhattan,70-74,19932,18964,20231,21923,24785,27719,30174
Manhattan,75-79,14258,15652,14933,15569,16858,20450,22927
Manhattan,80-84,8373,9283,10216,9484,9876,12017,14606
Manhattan,85+,6986,7140,7706,8096,7858,9695,11884
Manhattan,Total,729534,762696,795115,813668,830430,856268,879574
Queens,0-4,73081,69958,69061,70116,72335,74260,74901
Queens,5-9,74303,70761,67691,67672,68798,71245,73360
Queens,10-14,70583,76665,72975,70647,70713,72132,74902
Queens,15-19,71186,74064,80367,77423,75056,75405,77116
Queens,20-24,79945,80804,84035,92182,88899,86539,87157
Queens,25-29,92634,94900,95880,100762,110683,107137,104532
Queens,30-34,95355,92195,94393,96549,101578,112045,108773
Queens,35-39,94666,89482,86475,89693,91858,97161,107473
Queens,40-44,86157,92761,87634,85751,89055,91775,97353
Queens,45-49,72918,80415,86536,82824,81150,84999,87861
Queens,50-54,63371,71309,78611,85668,82092,81295,85400
Queens,55-59,48102,55121,61992,69310,75644,73663,73180
Queens,60-64,41129,41921,48003,54745,61292,68456,66876
Queens,65-69,33231,33174,33787,39254,44813,51890,58134
Queens,70-74,28964,24727,24668,25531,29666,35558,41282
Queens,75-79,23031,21325,18228,18482,19152,23883,28689
Queens,80-84,14283,14042,13008,11370,11547,13459,16811
Queens,85+,10629,10310,10086,9801,8950,10679,12592
Queens,Total,1073568,1093933,1113430,1147780,1183281,1231581,1276392
Staten Island,0-4,15329,14922,15030,15640,16358,16857,16796
Staten Island,5-9,16923,16292,15890,15725,16368,17140,17684
Staten Island,10-14,16474,17917,17283,16561,16395,17083,17909
Staten Island,15-19,15192,16650,18118,17166,16468,16331,17025
Staten Island,20-24,13621,15047,16518,17637,16720,16082,15969
Staten Island,25-29,14544,14710,16303,17617,18830,17877,17207
Staten Island,30-34,16680,16066,16278,17731,19160,20511,19500
Staten Island,35-39,17996,16929,16341,16258,17706,19176,20546
Staten Island,40-44,17836,18821,17737,16825,16746,18304,19847
Staten Island,45-49,15575,17610,18625,17225,16340,16355,17908
Staten Island,50-54,14548,15713,17809,18499,17110,16361,16396
Staten Island,55-59,11154,13773,14917,16596,17250,16148,15456
Staten Island,60-64,8255,10183,12600,13370,14880,15778,14791
Staten Island,65-69,6679,7250,8955,10839,11504,13179,13991
Staten Island,70-74,5624,5485,5969,7209,8730,9671,11095
Staten Island,75-79,4004,4475,4377,4648,5602,7221,8004
Staten Island,80-84,2384,2778,3111,2965,3149,4192,5409
Staten Island,85+,1667,1960,2288,2495,2495,3067,3967
Staten Island,Total,214485,226581,238149,245006,251811,261333,269500
