Neversink Date              ,Neversink Elevation,Neversink Storage,Rondout Date             ,Rondout Elevation,Rondout Storage,Schoharie Date             ,Schoharie Elevation,Schoharie Storage,Cannonsville Date             ,Cannonsville Elevation,Cannonsville Storage,Pepacton Date              ,Pepacton Elevation,Pepacton Storage,Ashokan East Date             ,Ashokan East Elevation,Ashokan East Storage,Ashokan West Date             ,Ashokan West Elevation,Ashokan West Storage
03/01/2005 04:00:00 PM +0000,1440.21,35570,03/01/2005 04:00:00 PM +0000,835.1,46757,03/01/2005 04:00:00 PM +0000,1130.09,19618,03/02/2005 04:00:00 PM +0000,1150.33,97257,03/01/2005 04:00:00 PM +0000,1277.42,138986,03/01/2005 04:00:00 PM +0000,586.61,79856,03/01/2005 04:00:00 PM +0000,587.24,44432
03/02/2005 04:00:00 PM +0000,1440.22,35575,03/02/2005 04:00:00 PM +0000,834.98,46678,03/02/2005 04:00:00 PM +0000,1130.07,19610,03/03/2005 04:00:00 PM +0000,1150.29,97193,03/02/2005 04:00:00 PM +0000,1277.26,138696,03/02/2005 04:00:00 PM +0000,586.61,79856,03/02/2005 04:00:00 PM +0000,586.93,44123
03/03/2005 04:00:00 PM +0000,1440.21,35570,03/03/2005 04:00:00 PM +0000,834.84,46585,03/03/2005 04:00:00 PM +0000,1130.05,19602,03/04/2005 04:00:00 PM +0000,1150.22,97080,03/03/2005 04:00:00 PM +0000,1277.1,138406,03/03/2005 04:00:00 PM +0000,586.6,79839,03/03/2005 04:00:00 PM +0000,586.61,43804
03/04/2005 04:00:00 PM +0000,1440.21,35570,03/04/2005 04:00:00 PM +0000,834.85,46592,03/04/2005 04:00:00 PM +0000,1130.04,19599,03/05/2005 04:00:00 PM +0000,1150.14,96951,03/04/2005 04:00:00 PM +0000,1276.9,138045,03/04/2005 04:00:00 PM +0000,586.61,79856,03/04/2005 04:00:00 PM +0000,586.31,43505
03/05/2005 04:00:00 PM +0000,1440.21,35570,03/05/2005 04:00:00 PM +0000,834.88,46612,03/05/2005 04:00:00 PM +0000,1130.04,19599,03/06/2005 04:00:00 PM +0000,1149.97,96680,03/05/2005 04:00:00 PM +0000,1276.72,137721,03/05/2005 04:00:00 PM +0000,586.61,79856,03/05/2005 04:00:00 PM +0000,586,43197
03/06/2005 04:00:00 PM +0000,1440.21,35570,03/06/2005 04:00:00 PM +0000,834.97,46671,03/06/2005 04:00:00 PM +0000,1130.05,19602,03/07/2005 04:00:00 PM +0000,1150.14,96951,03/06/2005 04:00:00 PM +0000,1276.56,137434,03/06/2005 04:00:00 PM +0000,586.6,79839,03/06/2005 04:00:00 PM +0000,585.84,43037
03/07/2005 04:00:00 PM +0000,1440.21,35570,03/07/2005 04:00:00 PM +0000,835.07,46737,03/07/2005 04:00:00 PM +0000,1130.19,19657,03/08/2005 04:00:00 PM +0000,1150.26,97144,03/07/2005 04:00:00 PM +0000,1276.38,137110,03/07/2005 04:00:00 PM +0000,586.65,79923,03/07/2005 04:00:00 PM +0000,585.82,43017
03/08/2005 04:00:00 PM +0000,1440.24,35585,03/08/2005 04:00:00 PM +0000,835.18,46810,03/08/2005 04:00:00 PM +0000,1130.16,19645,03/09/2005 04:00:00 PM +0000,1150.21,97064,03/08/2005 04:00:00 PM +0000,1276.31,136984,03/08/2005 04:00:00 PM +0000,586.65,79923,03/08/2005 04:00:00 PM +0000,585.82,43017
03/09/2005 04:00:00 PM +0000,1440.22,35575,03/09/2005 04:00:00 PM +0000,835.23,46843,03/09/2005 04:00:00 PM +0000,1130.11,19626,03/10/2005 04:00:00 PM +0000,1150.24,97112,03/09/2005 04:00:00 PM +0000,1276.21,136804,03/09/2005 04:00:00 PM +0000,586.65,79923,03/09/2005 04:00:00 PM +0000,585.75,42948
03/10/2005 04:00:00 PM +0000,1440.22,35575,03/10/2005 04:00:00 PM +0000,835.3,46889,03/10/2005 04:00:00 PM +0000,1130.1,19622,03/11/2005 04:00:00 PM +0000,1150.21,97064,03/10/2005 04:00:00 PM +0000,1276.06,136535,03/10/2005 04:00:00 PM +0000,586.65,79923,03/10/2005 04:00:00 PM +0000,585.53,42729
