Patrol Borough Brooklyn North,2005,2006,2007,2008,2009,Total
73rd Precinct,83,71,89,73,95,411
75th Precinct,119,130,144,142,122,657
77th Precinct,82,83,61,62,68,356
79th Precinct,62,59,53,48,64,286
81st Precinct,38,44,34,41,39,196
83rd Precinct,64,58,62,52,66,302
84th Precinct,18,22,15,13,10,78
88th Precinct,28,33,27,17,26,131
90th Precinct,25,21,39,36,34,155
94th Precinct,15,16,14,15,14,74
Precincts Total,534,537,538,499,538,2646
Task Force,10,6,8,8,11,43
Borough Headquarters,0,1,3,0,1,5
Anti-crime Unit,6,14,7,14,6,47
Patrol Borough Brooklyn North Total,550,558,556,521,556,2741
